" Table 20
Private Health Insurance Benefits and Net Cost; Levels, Annual Percent Change and Percent Distribution, Selected Calendar Years 1960-2018 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Nursing Care Facilities and Continuing Care Retirement Communities,— ,0.0,0.2,2.8,7.5,7.7,8.2,7.4,6.7,7.1,8.0,8.7,9.3,9.9,10.7,11.0,11.6,11.7,12.2,14.0,15.3,16.6,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Prescription Drugs,0.0,0.5,1.8,10.9,61.1,71.2,79.8,87.0,95.0,102.0,101.6,105.7,107.5,112.4,110.9,109.8,106.4,106.2,122.6,134.8,133.8,133.2,134.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Other Non-durable Medical Products,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Durable Medical Equipment,0.0,0.1,0.6,1.5,3.6,3.6,3.9,4.2,4.7,5.2,5.7,6.5,6.5,6.8,7.1,7.4,7.3,7.6,8.5,9.4,10.3,10.8,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Net Cost of Private Health Insurance,0.9,1.4,7.7,29.1,52.3,57.1,73.3,88.5,93.7,96.8,101.2,104.6,101.7,97.6,107.7,110.4,112.3,114.9,124.6,124.5,130.2,142.6,164.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Health Consumption Expenditures, ,10.3%,16.1%,12.9%,7.0%,9.6%,11.8%,9.7%,7.0%,6.5%,5.1%,5.2%,3.3%,3.5%,3.6%,3.7%,3.5%,1.9%,5.9%,6.7%,5.6%,4.9%,5.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance Benefits,,, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Personal Health Care, ,11.0 ,15.9 ,12.8 ,7.1 ,9.7 ,9.6 ,8.0 ,7.2 ,7.0 ,5.2 ,5.5 ,4.2 ,4.6 ,2.7 ,3.9 ,3.8 ,1.8 ,5.5 ,7.7 ,5.7 ,4.3 ,4.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Hospital , ,10.7 ,15.4 ,10.1 ,3.9 ,8.8 ,10.3 ,8.9 ,8.3 ,8.2 ,9.1 ,6.3 ,5.7 ,7.8 ,5.3 ,5.4 ,6.9 ,3.4 ,4.7 ,9.4 ,7.6 ,5.4 ,5.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Physician and Clinical Services, ,10.2 ,14.7 ,14.9 ,7.4 ,9.5 ,9.4 ,8.6 ,5.5 ,6.5 ,4.2 ,4.6 ,4.0 ,1.9 ,1.1 ,4.6 ,3.1 ,0.2 ,3.1 ,5.5 ,5.7 ,4.6 ,3.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Dental Services, ,18.7 ,33.4 ,14.9 ,7.5 ,9.8 ,6.3 ,2.3 ,8.4 ,5.8 ,5.2 ,5.4 ,2.9 ,1.6 ,1.6 ,0.9 ,1.4 ,1.5 ,2.1 ,0.1 ,5.2 ,4.6 ,5.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Other Professional Services, ,17.7 ,35.0 ,22.9 ,7.6 ,10.2 ,8.9 ,9.6 ,6.9 ,2.9 ,4.1 ,9.1 ,5.4 ,0.6 ,3.6 ,4.5 ,5.0 ,1.1 ,2.3 ,4.8 ,6.4 ,3.7 ,5.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Other Health, Residential, and Personal Care ", ,11.7 ,14.2 ,11.8 ,8.3 ,4.4 ,11.8 ,10.5 ,17.7 ,6.7 ,6.9 ,8.0 ,7.1 ,7.8 ,9.3 ,12.2 ,2.2 ,-0.4 ,5.9 ,14.7 ,4.7 ,3.8 ,-1.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Home Health Care, ,16.8 ,48.5 ,23.4 ,10.5 ,-12.8 ,-3.5 ,2.0 ,-2.4 ,2.1 ,-16.7 ,-4.8 ,-2.1 ,-1.0 ,4.1 ,9.1 ,18.4 ,19.7 ,12.0 ,6.0 ,7.5 ,9.0 ,6.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Nursing Care Facilities and Continuing Care Retirement Communities, ,—     ,35.6 ,30.6 ,10.4 ,3.7 ,5.7 ,-8.8 ,-9.4 ,5.8 ,11.9 ,9.2 ,6.8 ,6.1 ,8.6 ,2.3 ,5.8 ,0.8 ,4.6 ,14.5 ,9.4 ,8.4 ,2.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Prescription Drugs, ,30.0 ,14.1 ,19.6 ,18.9 ,16.4 ,12.1 ,9.1 ,9.2 ,7.3 ,-0.4 ,4.0 ,1.7 ,4.6 ,-1.3 ,-1.0 ,-3.1 ,-0.2 ,15.4 ,10.0 ,-0.8 ,-0.4 ,0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Other Non-durable Medical Products, ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Durable Medical Equipment, ,12.9 ,15.6 ,10.4 ,9.0 ,-1.6 ,9.7 ,7.4 ,12.2 ,10.8 ,9.1 ,13.4 ,0.6 ,4.9 ,3.7 ,4.5 ,-1.0 ,3.5 ,11.7 ,10.7 ,10.5 ,4.7 ,4.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Net Cost of Private Health Insurance, ,5.4 ,18.3 ,14.2 ,6.0 ,9.1 ,28.3 ,20.7 ,5.9 ,3.3 ,4.6 ,3.3 ,-2.8 ,-4.0 ,10.3 ,2.5 ,1.7 ,2.3 ,8.5 ,-0.1 ,4.6 ,9.5 ,15.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Health Consumption Expenditures,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Personal Health Care,85.3 ,90.7 ,88.9 ,87.6 ,88.6 ,88.6 ,86.9 ,85.6 ,85.8 ,86.2 ,86.3 ,86.5 ,87.3 ,88.2 ,87.5 ,87.6 ,87.8 ,87.8 ,87.5 ,88.3 ,88.4 ,87.9 ,86.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Hospital ,55.0 ,56.9 ,53.1 ,41.3 ,30.8 ,30.6 ,30.2 ,30.0 ,30.3 ,30.8 ,32.0 ,32.3 ,33.1 ,34.5 ,35.0 ,35.6 ,36.7 ,37.3 ,36.8 ,37.8 ,38.5 ,38.6 ,38.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Physician and Clinical Services,27.4 ,27.2 ,24.0 ,28.5 ,29.6 ,29.5 ,28.9 ,28.6 ,28.2 ,28.2 ,28.0 ,27.8 ,28.0 ,27.6 ,26.9 ,27.1 ,27.0 ,26.6 ,25.9 ,25.6 ,25.6 ,25.5 ,25.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Dental Services,0.7 ,1.4 ,5.5 ,6.5 ,6.8 ,6.8 ,6.5 ,6.1 ,6.2 ,6.1 ,6.1 ,6.1 ,6.1 ,6.0 ,5.9 ,5.7 ,5.6 ,5.6 ,5.4 ,5.0 ,5.0 ,5.0 ,5.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Other Professional Services,0.1 ,0.3 ,1.2 ,2.9 ,3.1 ,3.1 ,3.0 ,3.0 ,3.0 ,2.9 ,2.9 ,3.0 ,3.0 ,3.0 ,3.0 ,3.0 ,3.0 ,3.0 ,2.9 ,2.8 ,2.9 ,2.8 ,2.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Other Health, Residential, and Personal Care ",0.9 ,1.0 ,0.8 ,0.7 ,0.8 ,0.8 ,0.8 ,0.8 ,0.9 ,0.9 ,0.9 ,0.9 ,1.0 ,1.0 ,1.1 ,1.2 ,1.1 ,1.1 ,1.1 ,1.2 ,1.2 ,1.2 ,1.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Home Health Care,0.0 ,0.0 ,0.5 ,1.2 ,1.7 ,1.3 ,1.2 ,1.1 ,1.0 ,0.9 ,0.8 ,0.7 ,0.6 ,0.6 ,0.6 ,0.7 ,0.7 ,0.9 ,0.9 ,0.9 ,0.9 ,1.0 ,1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Nursing Care Facilities and Continuing Care Retirement Communities,—     ,0.1 ,0.3 ,1.2 ,1.6 ,1.5 ,1.5 ,1.2 ,1.0 ,1.0 ,1.1 ,1.1 ,1.2 ,1.2 ,1.2 ,1.2 ,1.3 ,1.2 ,1.2 ,1.3 ,1.4 ,1.4 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Prescription Drugs,0.6 ,3.1 ,2.6 ,4.6 ,13.3 ,14.2 ,14.2 ,14.1 ,14.4 ,14.6 ,13.8 ,13.6 ,13.4 ,13.6 ,12.9 ,12.3 ,11.5 ,11.3 ,12.3 ,12.7 ,11.9 ,11.3 ,10.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Other Non-durable Medical Products,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Durable Medical Equipment,0.7 ,0.9 ,0.8 ,0.7 ,0.8 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Net Cost of Private Health Insurance,14.7 ,9.3 ,11.1 ,12.4 ,11.4 ,11.4 ,13.1 ,14.4 ,14.2 ,13.8 ,13.7 ,13.5 ,12.7 ,11.8 ,12.5 ,12.4 ,12.2 ,12.2 ,12.5 ,11.7 ,11.6 ,12.1 ,13.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:  The figure 0 denotes dollar amounts less than $50 million, or percent less than 0.1.   Dashes ( ""— "") indicate not applicable.  Numbers and percents may not add to totals due to rounding.  Dollar amounts are shown in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
