"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Selected Calendar Years 1960-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product2 ,$542.4,"$1,073.3","$2,857.3","$5,963.1","$10,252.3","$10,581.8","$10,936.4","$11,458.2","$12,213.7","$13,036.6","$13,814.6","$14,451.9","$14,712.8","$14,448.9","$14,992.1","$15,542.6","$16,197.0","$16,784.9","$17,527.3","$18,224.8","$18,715.0","$19,519.4","$20,580.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Annual Percent Change from Previous Year Shown ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures ,,10.6%,13.1%,10.9%,6.6%,8.5%,9.6%,8.5%,7.2%,6.8%,6.5%,6.4%,4.5%,4.0%,4.1%,3.4%,4.0%,3.0%,5.2%,5.8%,4.6%,4.2%,4.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures,,10.5 ,13.4 ,11.1 ,6.7 ,8.8 ,9.5 ,8.6 ,7.2 ,6.7 ,6.7 ,6.2 ,4.3 ,4.6 ,4.2 ,3.4 ,4.1 ,3.2 ,5.7 ,5.9 ,4.8 ,4.0 ,4.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care,,10.5 ,13.2 ,11.0 ,6.6 ,8.6 ,8.4 ,8.1 ,7.5 ,6.8 ,6.4 ,6.3 ,4.8 ,5.1 ,3.8 ,3.5 ,4.1 ,3.0 ,5.1 ,6.0 ,4.7 ,4.1 ,4.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Administration and Net Cost of Health Insurance,,9.4 ,16.4 ,12.4 ,7.7 ,11.5 ,24.2 ,17.7 ,7.2 ,6.4 ,9.8 ,4.0 ,-2.2 ,-0.8 ,9.7 ,4.5 ,4.0 ,5.7 ,12.7 ,5.0 ,5.7 ,3.6 ,12.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Public Health Activities,,13.8 ,16.9 ,12.0 ,8.0 ,8.7 ,11.6 ,3.9 ,1.3 ,4.2 ,6.4 ,8.3 ,8.5 ,3.7 ,2.0 ,-1.7 ,3.7 ,2.3 ,3.8 ,4.6 ,3.4 ,3.0 ,2.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Investment,,11.6 ,10.2 ,9.1 ,5.8 ,4.9 ,10.8 ,7.2 ,7.4 ,7.5 ,4.5 ,10.6 ,6.9 ,-6.1 ,2.7 ,4.6 ,2.8 ,0.5 ,-2.8 ,2.9 ,1.7 ,7.4 ,3.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Population1,,1.2 ,0.9 ,1.0 ,1.1 ,1.0 ,0.9 ,0.9 ,0.9 ,0.9 ,1.0 ,0.9 ,0.9 ,0.9 ,0.8 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.8 ,0.7 ,0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product2 ,,7.1 ,10.3 ,7.6 ,5.6 ,3.2 ,3.4 ,4.8 ,6.6 ,6.7 ,6.0 ,4.6 ,1.8 ,-1.8 ,3.8 ,3.7 ,4.2 ,3.6 ,4.4 ,4.0 ,2.7 ,4.3 ,5.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures ,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures,90.8 ,89.9 ,92.2 ,93.4 ,93.9 ,94.1 ,94.1 ,94.1 ,94.1 ,94.1 ,94.2 ,94.0 ,93.8 ,94.4 ,94.5 ,94.4 ,94.5 ,94.6 ,95.0 ,95.2 ,95.3 ,95.2 ,95.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care,85.5 ,84.6 ,85.0 ,85.3 ,84.8 ,84.9 ,83.9 ,83.6 ,83.7 ,83.8 ,83.7 ,83.6 ,83.8 ,84.7 ,84.5 ,84.5 ,84.6 ,84.6 ,84.5 ,84.7 ,84.8 ,84.7 ,84.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Administration and Net Cost of Health Insurance,3.9 ,3.5 ,4.7 ,5.4 ,5.9 ,6.1 ,6.9 ,7.5 ,7.5 ,7.5 ,7.7 ,7.5 ,7.0 ,6.7 ,7.1 ,7.1 ,7.1 ,7.3 ,7.9 ,7.8 ,7.9 ,7.8 ,8.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Public Health Activities,1.4 ,1.8 ,2.5 ,2.8 ,3.1 ,3.1 ,3.2 ,3.1 ,2.9 ,2.8 ,2.8 ,2.9 ,3.0 ,3.0 ,2.9 ,2.8 ,2.8 ,2.7 ,2.7 ,2.7 ,2.6 ,2.6 ,2.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Investment,9.2 ,10.1 ,7.8 ,6.6 ,6.1 ,5.9 ,5.9 ,5.9 ,5.9 ,5.9 ,5.8 ,6.0 ,6.2 ,5.6 ,5.5 ,5.6 ,5.5 ,5.4 ,5.0 ,4.8 ,4.7 ,4.8 ,4.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Per Capita Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures ,$146 ,$355 ,"$1,108 ","$2,843 ","$4,855 ","$5,218 ","$5,666 ","$6,097 ","$6,479 ","$6,854 ","$7,232 ","$7,624 ","$7,890 ","$8,131 ","$8,394 ","$8,625 ","$8,908 ","$9,113 ","$9,518 ","$9,995 ","$10,379 ","$10,742 ","$11,172 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures,133 ,319 ,"1,022 ","2,657 ","4,560 ","4,912 ","5,329 ","5,739 ","6,098 ","6,448 ","6,812 ","7,164 ","7,403 ","7,678 ","7,932 ","8,145 ","8,419 ","8,624 ","9,047 ","9,514 ","9,893 ","10,224 ","10,638 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care,125 ,300 ,942 ,"2,425 ","4,119 ","4,429 ","4,756 ","5,095 ","5,425 ","5,743 ","6,052 ","6,372 ","6,612 ","6,890 ","7,093 ","7,290 ","7,536 ","7,706 ","8,042 ","8,466 ","8,800 ","9,101 ","9,415 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Administration and Net Cost of Health Insurance,6 ,13 ,52 ,153 ,288 ,318 ,392 ,457 ,485 ,512 ,556 ,573 ,555 ,546 ,594 ,616 ,636 ,668 ,747 ,779 ,818 ,841 ,937 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Public Health Activities,2 ,6 ,28 ,79 ,153 ,164 ,182 ,187 ,188 ,194 ,204 ,219 ,236 ,242 ,245 ,239 ,246 ,250 ,258 ,268 ,275 ,281 ,286 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Investment,13 ,36 ,86 ,187 ,295 ,307 ,337 ,358 ,381 ,405 ,420 ,460 ,487 ,453 ,462 ,480 ,489 ,489 ,471 ,481 ,486 ,518 ,534 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Health Expenditures as a Percent of 
  Gross Domestic Product",5.0%,6.9%,8.9%,12.1%,13.4%,14.0%,14.9%,15.4%,15.5%,15.5%,15.6%,15.9%,16.3%,17.2%,17.3%,17.3%,17.2%,17.1%,17.3%,17.6%,17.9%,17.9%,17.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1U.S. Bureau of the Census.  Census resident-based population less armed forces overseas and population of outlying areas.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2U.S. Department of Commerce, Bureau of Economic Analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE:  Numbers and percents may not add to totals because of rounding.  Dollar amounts shown are in current dollars.  Percent changes are calculated from unrounded data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group;  U.S. Department of Commerce, Bureau of Economic Analysis; and U.S. Bureau of the Census.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
