"  Table 2 
National Health Expenditures; Aggregate, Annual Percent Change, Percent Distribution and Per Capita Amounts, by Type of Expenditure: Selected Calendar Years 1960-2018 ",,,,,,,,,,,,,,,,,,,,,,,
                    Durable Medical Equipment,0.7 ,1.7 ,4.1 ,13.8 ,25.2 ,25.1 ,27.1 ,28.5 ,30.4 ,32.4 ,34.4 ,37.1 ,37.7 ,37.8 ,39.9 ,42.3 ,43.7 ,45.1 ,46.7 ,48.6 ,51.0 ,52.4 ,54.9 
                    Other Non-Durable Medical Products,1.6 ,3.3 ,9.8 ,22.4 ,31.6 ,32.2 ,33.3 ,36.2 ,38.1 ,40.8 ,43.7 ,47.8 ,49.5 ,50.4 ,51.3 ,52.9 ,53.9 ,56.0 ,57.5 ,60.2 ,62.7 ,64.1 ,66.4 
          Government Administration4,0.1 ,0.7 ,2.8 ,7.2 ,17.1 ,19.6 ,22.6 ,25.1 ,27.1 ,28.2 ,28.8 ,29.2 ,29.3 ,29.6 ,30.2 ,32.9 ,34.2 ,37.5 ,42.3 ,42.8 ,44.9 ,44.8 ,47.5 
          Net Cost of Health Insurance5,1.0 ,1.9 ,9.3 ,31.6 ,64.2 ,71.0 ,90.0 ,107.3 ,114.9 ,122.9 ,137.1 ,143.2 ,139.4 ,137.6 ,153.2 ,158.8 ,165.2 ,173.3 ,195.3 ,206.7 ,218.8 ,228.3 ,258.5 
          Government Public Health Activities,0.4 ,1.4 ,6.4 ,20.0 ,43.0 ,46.8 ,52.2 ,54.2 ,54.9 ,57.3 ,60.9 ,66.0 ,71.6 ,74.2 ,75.7 ,74.4 ,77.2 ,79.0 ,82.0 ,85.8 ,88.7 ,91.4 ,93.5 
     Investment,2.5 ,7.5 ,19.9 ,47.3 ,83.3 ,87.4 ,96.8 ,103.7 ,111.4 ,119.7 ,125.2 ,138.4 ,148.0 ,138.9 ,142.7 ,149.2 ,153.3 ,154.1 ,149.8 ,154.1 ,156.7 ,168.3 ,174.4 
          Research6,0.7 ,2.0 ,5.4 ,12.7 ,25.5 ,28.5 ,32.0 ,34.8 ,38.6 ,40.3 ,41.2 ,42.6 ,44.3 ,45.3 ,49.1 ,49.6 ,48.4 ,46.7 ,46.0 ,46.4 ,47.4 ,50.1 ,52.6 
          Structures and Equipment,1.8 ,5.6 ,14.4 ,34.6 ,57.8 ,58.9 ,64.8 ,68.9 ,72.8 ,79.4 ,84.0 ,95.8 ,103.7 ,93.6 ,93.5 ,99.6 ,105.0 ,107.5 ,103.7 ,107.7 ,109.3 ,118.2 ,121.8 
,Average Annual Percent Change from Previous Year Shown ,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures, ,10.6%,13.1%,10.9%,6.6%,8.5%,9.6%,8.5%,7.2%,6.8%,6.5%,6.4%,4.5%,4.0%,4.1%,3.4%,4.0%,3.0%,5.2%,5.8%,4.6%,4.2%,4.6%
     Health Consumption Expenditures, ,10.5 ,13.4 ,11.1 ,6.7 ,8.8 ,9.5 ,8.6 ,7.2 ,6.7 ,6.7 ,6.2 ,4.3 ,4.6 ,4.2 ,3.4 ,4.1 ,3.2 ,5.7 ,5.9 ,4.8 ,4.0 ,4.7 
          Personal Health Care, ,10.5 ,13.2 ,11.0 ,6.6 ,8.6 ,8.4 ,8.1 ,7.5 ,6.8 ,6.4 ,6.3 ,4.8 ,5.1 ,3.8 ,3.5 ,4.1 ,3.0 ,5.1 ,6.0 ,4.7 ,4.1 ,4.1 
               Hospital Care, ,11.7 ,14.0 ,9.6 ,5.2 ,8.1 ,8.3 ,8.1 ,7.5 ,7.7 ,7.0 ,6.2 ,4.9 ,7.4 ,5.5 ,3.6 ,6.0 ,3.9 ,4.3 ,5.8 ,5.3 ,4.7 ,4.5 
               Professional Services, ,9.6 ,12.6 ,12.4 ,6.4 ,8.7 ,8.1 ,7.1 ,7.1 ,6.0 ,5.2 ,5.8 ,5.5 ,2.9 ,3.1 ,4.1 ,3.7 ,2.2 ,4.3 ,5.7 ,5.4 ,4.6 ,4.4 
                    Physician and Clinical Services, ,9.9 ,12.8 ,12.7 ,6.2 ,8.5 ,8.0 ,7.9 ,6.9 ,6.1 ,5.3 ,5.2 ,5.3 ,3.3 ,3.0 ,4.5 ,4.0 ,2.2 ,4.6 ,6.0 ,5.4 ,4.7 ,4.1 
                    Other Professional Services, ,6.3 ,17.0 ,17.4 ,7.8 ,9.9 ,7.6 ,7.3 ,7.9 ,5.1 ,4.7 ,8.7 ,7.4 ,4.0 ,4.3 ,4.2 ,5.0 ,3.0 ,5.4 ,5.9 ,5.5 ,5.2 ,6.5 
                    Dental Services, ,9.0 ,11.0 ,9.0 ,7.0 ,9.0 ,8.8 ,3.6 ,7.7 ,6.1 ,5.2 ,6.5 ,5.1 ,0.4 ,2.7 ,2.0 ,1.6 ,1.4 ,2.3 ,4.4 ,5.1 ,3.8 ,4.6 
"                 Other Health, Residential, and Personal Care1", ,11.5 ,20.5 ,11.0 ,10.4 ,9.4 ,9.6 ,7.6 ,8.3 ,6.4 ,6.4 ,7.2 ,5.7 ,7.7 ,4.6 ,2.0 ,5.6 ,3.7 ,5.0 ,8.6 ,5.5 ,5.5 ,4.6 
               Home Health Care2, ,14.5 ,26.9 ,18.1 ,9.9 ,6.1 ,6.4 ,10.2 ,11.1 ,10.5 ,5.5 ,10.4 ,8.5 ,8.6 ,5.7 ,4.2 ,4.9 ,3.9 ,4.2 ,5.3 ,4.2 ,4.5 ,5.2 
"               Nursing Care Facilities and Continuing Care Retirement Communities2, 3 ", ,17.4 ,14.2 ,11.4 ,6.6 ,6.7 ,4.1 ,5.9 ,5.0 ,6.0 ,4.0 ,7.8 ,4.4 ,3.6 ,3.9 ,3.5 ,1.4 ,1.1 ,2.3 ,3.8 ,3.1 ,2.0 ,1.4 
               Retail Outlet Sales of Medical Products, ,7.7 ,9.4 ,11.4 ,8.8 ,10.5 ,11.2 ,10.5 ,8.3 ,6.5 ,8.6 ,5.8 ,2.2 ,3.3 ,0.6 ,2.2 ,1.0 ,2.5 ,10.4 ,7.4 ,2.4 ,1.7 ,2.9 
                    Prescription Drugs, ,7.5 ,8.2 ,12.8 ,11.6 ,14.8 ,13.6 ,11.9 ,9.2 ,6.4 ,9.2 ,4.8 ,2.0 ,4.1 ,-0.4 ,1.4 ,0.4 ,2.1 ,13.3 ,8.4 ,1.7 ,1.4 ,2.5 
                    Durable Medical Equipment, ,9.0 ,8.8 ,13.0 ,6.2 ,-0.1 ,7.9 ,5.1 ,6.5 ,6.6 ,6.3 ,7.7 ,1.6 ,0.4 ,5.6 ,5.8 ,3.4 ,3.2 ,3.6 ,4.1 ,4.9 ,2.9 ,4.7 
                    Other Non-Durable Medical Products, ,7.4 ,11.4 ,8.6 ,3.5 ,2.2 ,3.2 ,8.7 ,5.2 ,7.1 ,7.2 ,9.2 ,3.6 ,1.8 ,1.8 ,3.1 ,2.0 ,3.9 ,2.7 ,4.7 ,4.1 ,2.2 ,3.6 
          Government Administration4, ,30.0 ,14.1 ,10.0 ,9.0 ,14.7 ,15.1 ,11.4 ,7.6 ,4.3 ,1.9 ,1.4 ,0.4 ,1.2 ,1.9 ,9.0 ,3.9 ,9.6 ,12.8 ,1.2 ,5.0 ,-0.2 ,6.0 
          Net Cost of Health Insurance5, ,6.4 ,17.2 ,13.0 ,7.4 ,10.7 ,26.7 ,19.2 ,7.1 ,6.9 ,11.6 ,4.5 ,-2.7 ,-1.3 ,11.3 ,3.7 ,4.0 ,4.9 ,12.7 ,5.8 ,5.9 ,4.3 ,13.2 
          Government Public Health Activities, ,13.8 ,16.9 ,12.0 ,8.0 ,8.7 ,11.6 ,3.9 ,1.3 ,4.2 ,6.4 ,8.3 ,8.5 ,3.7 ,2.0 ,-1.7 ,3.7 ,2.3 ,3.8 ,4.6 ,3.4 ,3.0 ,2.4 
     Investment, ,11.6 ,10.2 ,9.1 ,5.8 ,4.9 ,10.8 ,7.2 ,7.4 ,7.5 ,4.5 ,10.6 ,6.9 ,-6.1 ,2.7 ,4.6 ,2.8 ,0.5 ,-2.8 ,2.9 ,1.7 ,7.4 ,3.6 
          Research6, ,10.9 ,10.8 ,8.9 ,7.2 ,11.9 ,12.3 ,8.8 ,10.7 ,4.5 ,2.1 ,3.4 ,4.0 ,2.4 ,8.3 ,0.9 ,-2.4 ,-3.5 ,-1.4 ,0.8 ,2.1 ,5.7 ,5.0 
          Structures and Equipment, ,11.9 ,10.0 ,9.2 ,5.3 ,1.8 ,10.0 ,6.4 ,5.7 ,9.1 ,5.8 ,14.1 ,8.3 ,-9.8 ,-0.1 ,6.5 ,5.4 ,2.4 ,-3.5 ,3.8 ,1.5 ,8.1 ,3.0 
"  Table 2 - Continued
National Health Expenditures; Aggregate,  Annual Percent Change, Percent Distribution and Per Capita Amounts, by Type of Expenditure: Selected Calendar Years 1960-2017 ",,,,,,,,,,,,,,,,,,,,,,,
Type of Expenditure,1960 ,1970 ,1980 ,1990 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
     Health Consumption Expenditures,90.8 ,89.9 ,92.2 ,93.4 ,93.9 ,94.1 ,94.1 ,94.1 ,94.1 ,94.1 ,94.2 ,94.0 ,93.8 ,94.4 ,94.5 ,94.4 ,94.5 ,94.6 ,95.0 ,95.2 ,95.3 ,95.2 ,95.2 
          Personal Health Care,85.5 ,84.6 ,85.0 ,85.3 ,84.8 ,84.9 ,83.9 ,83.6 ,83.7 ,83.8 ,83.7 ,83.6 ,83.8 ,84.7 ,84.5 ,84.5 ,84.6 ,84.6 ,84.5 ,84.7 ,84.8 ,84.7 ,84.3 
               Hospital Care,33.0 ,36.4 ,39.4 ,34.7 ,30.3 ,30.2 ,29.9 ,29.8 ,29.8 ,30.1 ,30.2 ,30.2 ,30.3 ,31.3 ,31.7 ,31.8 ,32.3 ,32.6 ,32.3 ,32.3 ,32.5 ,32.7 ,32.7 
               Professional Services,29.1 ,26.5 ,25.3 ,28.7 ,28.3 ,28.3 ,27.9 ,27.6 ,27.5 ,27.3 ,27.0 ,26.8 ,27.1 ,26.8 ,26.5 ,26.7 ,26.6 ,26.4 ,26.2 ,26.2 ,26.4 ,26.5 ,26.4 
                    Physician and Clinical Services,20.4 ,19.2 ,18.7 ,22.0 ,21.0 ,21.0 ,20.7 ,20.6 ,20.5 ,20.4 ,20.2 ,19.9 ,20.1 ,20.0 ,19.8 ,20.0 ,20.0 ,19.8 ,19.7 ,19.7 ,19.9 ,20.0 ,19.9 
                    Other Professional Services,1.4 ,1.0 ,1.4 ,2.4 ,2.7 ,2.7 ,2.7 ,2.6 ,2.6 ,2.6 ,2.6 ,2.6 ,2.7 ,2.7 ,2.7 ,2.7 ,2.7 ,2.7 ,2.7 ,2.7 ,2.8 ,2.8 ,2.8 
                    Dental Services,7.3 ,6.3 ,5.2 ,4.4 ,4.5 ,4.6 ,4.5 ,4.3 ,4.3 ,4.3 ,4.3 ,4.3 ,4.3 ,4.1 ,4.1 ,4.0 ,3.9 ,3.9 ,3.8 ,3.7 ,3.7 ,3.7 ,3.7 
"                 Other Health, Residential, and Personal Care1",1.6 ,1.7 ,3.3 ,3.3 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.8 ,5.0 ,5.0 ,4.9 ,5.0 ,5.0 ,5.0 ,5.1 ,5.2 ,5.3 ,5.3 
               Home Health Care2,0.2 ,0.3 ,0.9 ,1.7 ,2.4 ,2.3 ,2.2 ,2.3 ,2.4 ,2.4 ,2.4 ,2.5 ,2.6 ,2.7 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 
"               Nursing Care Facilities and Continuing Care Retirement Communities2, 3 ",3.0 ,5.4 ,6.0 ,6.2 ,6.2 ,6.1 ,5.8 ,5.7 ,5.5 ,5.5 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.3 ,5.2 ,5.0 ,4.9 ,4.9 ,4.8 ,4.6 
               Retail Outlet Sales of Medical Products,18.5 ,14.2 ,10.1 ,10.6 ,13.0 ,13.2 ,13.4 ,13.7 ,13.8 ,13.8 ,14.0 ,13.9 ,13.6 ,13.6 ,13.1 ,12.9 ,12.6 ,12.5 ,13.1 ,13.3 ,13.0 ,12.7 ,12.5 
                    Prescription Drugs,9.8 ,7.4 ,4.7 ,5.6 ,8.8 ,9.4 ,9.7 ,10.0 ,10.2 ,10.1 ,10.4 ,10.2 ,10.0 ,10.0 ,9.6 ,9.4 ,9.1 ,9.0 ,9.7 ,9.9 ,9.6 ,9.4 ,9.2 
                    Durable Medical Equipment,2.7 ,2.3 ,1.6 ,1.9 ,1.8 ,1.7 ,1.7 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.5 ,1.5 ,1.6 ,1.6 ,1.6 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 
                    Other Non-Durable Medical Products,6.0 ,4.5 ,3.8 ,3.1 ,2.3 ,2.2 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,2.1 ,2.1 ,2.0 ,2.0 ,2.0 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.8 ,1.8 
          Government Administration4,0.2 ,1.0 ,1.1 ,1.0 ,1.2 ,1.3 ,1.4 ,1.4 ,1.4 ,1.4 ,1.3 ,1.3 ,1.2 ,1.2 ,1.2 ,1.2 ,1.2 ,1.3 ,1.4 ,1.3 ,1.3 ,1.3 ,1.3 
          Net Cost of Health Insurance5,3.7 ,2.5 ,3.6 ,4.4 ,4.7 ,4.8 ,5.5 ,6.1 ,6.1 ,6.1 ,6.4 ,6.2 ,5.8 ,5.5 ,5.9 ,5.9 ,5.9 ,6.0 ,6.5 ,6.5 ,6.5 ,6.5 ,7.1 
          Government Public Health Activities,1.4 ,1.8 ,2.5 ,2.8 ,3.1 ,3.1 ,3.2 ,3.1 ,2.9 ,2.8 ,2.8 ,2.9 ,3.0 ,3.0 ,2.9 ,2.8 ,2.8 ,2.7 ,2.7 ,2.7 ,2.6 ,2.6 ,2.6 
     Investment,9.2 ,10.1 ,7.8 ,6.6 ,6.1 ,5.9 ,5.9 ,5.9 ,5.9 ,5.9 ,5.8 ,6.0 ,6.2 ,5.6 ,5.5 ,5.6 ,5.5 ,5.4 ,5.0 ,4.8 ,4.7 ,4.8 ,4.8 
          Research6,2.6 ,2.6 ,2.1 ,1.8 ,1.9 ,1.9 ,2.0 ,2.0 ,2.0 ,2.0 ,1.9 ,1.9 ,1.8 ,1.8 ,1.9 ,1.8 ,1.7 ,1.6 ,1.5 ,1.4 ,1.4 ,1.4 ,1.4 
          Structures and Equipment,6.7 ,7.5 ,5.7 ,4.8 ,4.2 ,4.0 ,4.0 ,3.9 ,3.8 ,3.9 ,3.9 ,4.2 ,4.3 ,3.8 ,3.6 ,3.7 ,3.8 ,3.7 ,3.4 ,3.4 ,3.3 ,3.4 ,3.3 
,Per Capita Amount,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures,$146 ,$355 ,"$1,108 ","$2,843 ","$4,855 ","$5,218 ","$5,666 ","$6,097 ","$6,479 ","$6,854 ","$7,232 ","$7,624 ","$7,890 ","$8,131 ","$8,394 ","$8,625 ","$8,908 ","$9,113 ","$9,518 ","$9,995 ","$10,379 ","$10,742 ","$11,172 "
     Health Consumption Expenditures,133 ,319 ,"1,022 ","2,657 ","4,560 ","4,912 ","5,329 ","5,739 ","6,098 ","6,448 ","6,812 ","7,164 ","7,403 ","7,678 ","7,932 ","8,145 ","8,419 ","8,624 ","9,047 ","9,514 ","9,893 ","10,224 ","10,638 "
          Personal Health Care,125 ,300 ,942 ,"2,425 ","4,119 ","4,429 ","4,756 ","5,095 ","5,425 ","5,743 ","6,052 ","6,372 ","6,612 ","6,890 ","7,093 ","7,290 ","7,536 ","7,706 ","8,042 ","8,466 ","8,800 ","9,101 ","9,415 "
               Hospital Care,48 ,129 ,436 ,987 ,"1,474 ","1,578 ","1,692 ","1,814 ","1,932 ","2,061 ","2,184 ","2,299 ","2,389 ","2,544 ","2,662 ","2,739 ","2,881 ","2,972 ","3,078 ","3,232 ","3,378 ","3,513 ","3,649 "
               Professional Services,43 ,94 ,280 ,817 ,"1,372 ","1,477 ","1,582 ","1,680 ","1,783 ","1,873 ","1,951 ","2,045 ","2,137 ","2,179 ","2,228 ","2,304 ","2,372 ","2,407 ","2,493 ","2,617 ","2,738 ","2,846 ","2,955 "
                    Physician and Clinical Services,30 ,68 ,207 ,624 ,"1,022 ","1,098 ","1,175 ","1,257 ","1,331 ","1,399 ","1,458 ","1,520 ","1,586 ","1,624 ","1,659 ","1,723 ","1,778 ","1,805 ","1,874 ","1,972 ","2,064 ","2,147 ","2,221 "
                    Other Professional Services,2 ,3 ,15 ,68 ,130 ,141 ,151 ,160 ,172 ,179 ,185 ,200 ,212 ,219 ,226 ,234 ,244 ,250 ,261 ,274 ,287 ,300 ,318 
                    Dental Services,11 ,22 ,58 ,125 ,220 ,238 ,256 ,263 ,281 ,295 ,308 ,325 ,338 ,336 ,343 ,347 ,350 ,353 ,358 ,371 ,387 ,399 ,415 
"                 Other Health, Residential, and Personal Care1",2 ,6 ,36 ,94 ,227 ,246 ,267 ,285 ,305 ,322 ,339 ,360 ,377 ,403 ,418 ,423 ,444 ,457 ,477 ,514 ,538 ,564 ,587 
               Home Health Care2,0 ,1 ,10 ,49 ,115 ,120 ,127 ,139 ,153 ,167 ,175 ,191 ,205 ,221 ,232 ,240 ,250 ,258 ,267 ,279 ,288 ,299 ,313 
"               Nursing Care Facilities and Continuing Care Retirement Communities2, 3 ",4 ,19 ,66 ,176 ,302 ,319 ,329 ,345 ,359 ,377 ,389 ,415 ,429 ,441 ,455 ,467 ,470 ,472 ,479 ,494 ,505 ,512 ,516 
               Retail Outlet Sales of Medical Products,27 ,50 ,112 ,302 ,630 ,690 ,760 ,832 ,893 ,943 ,"1,014 ","1,062 ","1,076 ","1,102 ","1,099 ","1,116 ","1,119 ","1,139 ","1,248 ","1,330 ","1,352 ","1,365 ","1,397 "
                    Prescription Drugs,14 ,26 ,52 ,159 ,429 ,488 ,549 ,609 ,659 ,695 ,752 ,780 ,789 ,814 ,804 ,810 ,807 ,818 ,920 ,990 ,999 ,"1,007 ","1,026 "
                    Durable Medical Equipment,4 ,8 ,18 ,54 ,89 ,88 ,94 ,98 ,104 ,110 ,115 ,123 ,124 ,123 ,129 ,136 ,139 ,143 ,147 ,152 ,158 ,161 ,168 
                    Other Non-Durable Medical Products,9 ,16 ,43 ,88 ,112 ,113 ,116 ,125 ,130 ,138 ,147 ,159 ,163 ,164 ,166 ,170 ,172 ,178 ,181 ,188 ,194 ,197 ,203 
          Government Administration4,0 ,4 ,12 ,28 ,61 ,69 ,79 ,87 ,92 ,96 ,96 ,97 ,96 ,97 ,98 ,106 ,109 ,119 ,133 ,134 ,139 ,138 ,146 
          Net Cost of Health Insurance5,5 ,9 ,40 ,124 ,228 ,249 ,313 ,370 ,393 ,416 ,460 ,476 ,459 ,449 ,496 ,511 ,527 ,549 ,614 ,646 ,678 ,703 ,791 
          Government Public Health Activities,2 ,6 ,28 ,79 ,153 ,164 ,182 ,187 ,188 ,194 ,204 ,219 ,236 ,242 ,245 ,239 ,246 ,250 ,258 ,268 ,275 ,281 ,286 
     Investment,13 ,36 ,86 ,187 ,295 ,307 ,337 ,358 ,381 ,405 ,420 ,460 ,487 ,453 ,462 ,480 ,489 ,489 ,471 ,481 ,486 ,518 ,534 
          Research6,4 ,9 ,24 ,50 ,90 ,100 ,111 ,120 ,132 ,137 ,138 ,141 ,146 ,148 ,159 ,159 ,154 ,148 ,145 ,145 ,147 ,154 ,161 
          Structures and Equipment,10 ,26 ,63 ,137 ,205 ,207 ,225 ,238 ,249 ,269 ,282 ,318 ,341 ,305 ,303 ,320 ,335 ,341 ,326 ,336 ,339 ,364 ,373 
"1 Includes expenditures for residential care facilities (NAICS 623210 and 623220), ambulance providers (NAICS 621910), medical care delivered in non-traditional settings (such as community centers, senior citizens centers, schools, and military field stations), and expenditures for Home and Community Based Waiver programs under Medicaid.",,,,,,,,,,,,,,,,,,,,,,,
2 Includes freestanding facilities only. Additional services of this type provided in hospital-based facilities are counted as hospital care.,,,,,,,,,,,,,,,,,,,,,,,
"3 Includes care provided in nursing care facilities (NAICS 6231), continuing care retirement communities (623311), state and local government nursing facilities, and nursing facilities operated by the Department of Veterans Affairs.",,,,,,,,,,,,,,,,,,,,,,,
"4 Includes all administrative costs (federal and state and local employees' salaries, contracted employees including fiscal intermediaries, rent and building costs, computer systems and programs, other materials and supplies, and other miscellaneous expenses) associated with insuring individuals enrolled in the following health insurance programs:  Medicare, Medicaid, Children's Health Insurance Program, Department of Defense, Department of Veterans Affairs, Indian Health Service, workers' compensation, maternal and child health, vocational rehabilitation, Substance Abuse and Mental Health Services Administration, and other federal programs.",,,,,,,,,,,,,,,,,,,,,,,
"5 Net cost of health insurance is calculated as the difference between CY incurred premiums earned and benefits paid for private health insurance.  This includes administrative costs, and in some cases, additions to reserves, rate credits and dividends, premium taxes, and plan profits or losses. Also included in this category is the difference between premiums earned and benefits paid for the private health insurance companies that insure the enrollees of the following programs: Medicare, Medicaid, Children's Health Insurance Program, and workers' compensation (health portion only). ",,,,,,,,,,,,,,,,,,,,,,,
"6 Research and development expenditures of drug companies and other manufacturers and providers of medical equipment and supplies are excluded from ""research expenditures"" but are included in the expenditure class in which the product falls.",,,,,,,,,,,,,,,,,,,,,,,
NOTE: Numbers may not add to totals due to rounding.  Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
