"Table 15 
Nursing Care Facilities and Continuing Care Retirement Communities Expenditures; Levels, Percent Change, and Percent Distribution, by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,
2014,100.0 ,26.0 ,66.7 ,8.0 ,23.4 ,32.2 ,3.1 ,7.3 ,,,
2015,100.0 ,26.2 ,66.7 ,8.9 ,23.5 ,31.2 ,3.2 ,7.0 ,,,
2016,100.0 ,27.0 ,65.8 ,9.4 ,22.8 ,30.6 ,3.1 ,7.1 ,,,
2017,100.0 ,26.8 ,65.9 ,10.0 ,22.6 ,30.1 ,3.2 ,7.3 ,,,
2018,100.0 ,26.6 ,65.7 ,10.1 ,22.6 ,29.6 ,3.4 ,7.7 ,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
