"Table 11 
Other Professional Services Expenditures; Levels, Percent Change, and Percent Distribution, by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,
2014,100.0 ,25.3 ,66.2 ,34.7 ,23.6 ,7.5 ,0.3 ,8.5 ,,,
2015,100.0 ,25.0 ,66.9 ,34.4 ,24.2 ,7.9 ,0.3 ,8.1 ,,,
2016,100.0 ,24.9 ,67.1 ,34.7 ,24.2 ,7.8 ,0.4 ,8.0 ,,,
2017,100.0 ,25.0 ,67.5 ,34.2 ,25.2 ,7.7 ,0.4 ,7.5 ,,,
2018,100.0 ,25.1 ,67.8 ,33.8 ,26.2 ,7.4 ,0.4 ,7.1 ,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
