"Table 13 
Other Health, Residential, and Personal Care Services Expenditures; Levels, Percent Change, and Percent Distribution, by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,,,,,,,,,,
2004,100.0 ,4.7 ,63.4 ,6.6 ,3.4 ,52.4 ,1.0 ,31.9 ,,,,,,,,,,,,
2005,100.0 ,4.8 ,63.7 ,6.6 ,3.7 ,52.5 ,1.0 ,31.5 ,,,,,,,,,,,,
2006,100.0 ,4.6 ,64.1 ,6.6 ,3.7 ,52.7 ,1.1 ,31.3 ,,,,,,,,,,,,
2007,100.0 ,4.3 ,64.3 ,6.7 ,3.6 ,53.0 ,1.0 ,31.4 ,,,,,,,,,,,,
2008,100.0 ,4.2 ,64.0 ,6.8 ,3.7 ,52.4 ,1.1 ,31.8 ,,,,,,,,,,,,
2009,100.0 ,4.1 ,65.1 ,6.8 ,3.7 ,53.3 ,1.3 ,30.8 ,,,,,,,,,,,,
2010,100.0 ,4.0 ,65.9 ,7.1 ,3.7 ,53.9 ,1.2 ,30.1 ,,,,,,,,,,,,
2011,100.0 ,3.9 ,66.3 ,7.8 ,3.8 ,53.6 ,1.2 ,29.8 ,,,,,,,,,,,,
2012,100.0 ,4.0 ,66.8 ,7.5 ,3.7 ,54.4 ,1.3 ,29.1 ,,,,,,,,,,,,
2013,100.0 ,4.1 ,67.2 ,7.2 ,3.6 ,55.1 ,1.3 ,28.7 ,,,,,,,,,,,,
2014,100.0 ,3.9 ,67.3 ,7.3 ,3.4 ,55.4 ,1.3 ,28.8 ,,,,,,,,,,,,
2015,100.0 ,3.5 ,68.7 ,7.7 ,3.1 ,56.6 ,1.3 ,27.8 ,,,,,,,,,,,,
2016,100.0 ,3.5 ,69.4 ,7.6 ,2.8 ,57.5 ,1.4 ,27.1 ,,,,,,,,,,,,
2017,100.0 ,3.5 ,69.4 ,7.5 ,2.7 ,57.8 ,1.4 ,27.1 ,,,,,,,,,,,,
2018,100.0 ,3.6 ,69.1 ,7.1 ,2.6 ,58.0 ,1.4 ,27.4 ,,,,,,,,,,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,,,,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,,,,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
