" Table 4 
National Health Expenditures by Source of Funds and Type of Expenditure: Calendar Years 2011-2018        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Physician and Clinical Services,557.1,52.0,447.8,249.1,128.2,47.0,23.5,57.4,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Other Professional Services,76.4,19.4,50.0,27.9,16.9,5.0,0.2,7.0,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Dental Services,109.7,45.7,63.5,51.6,0.4,8.6,3.0,0.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                    Other Health, Residential, and Personal Care3",139.1,5.6,93.0,10.5,5.1,75.7,1.8,40.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Home Health Care4,78.3,7.2,68.5,6.9,33.5,27.7,0.4,2.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                     Nursing Care Facilities and Continuing Care Retirement Communities4, 5",147.4,39.2,97.6,11.6,33.9,47.7,4.4,10.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Retail Outlet Sales of Medical Products,350.6,118.2,229.0,113.7,78.9,26.8,9.6,3.4,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Prescription Drugs,253.0,45.5,204.9,106.4,67.5,21.4,9.5,2.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Durable Medical Equipment,43.7,22.0,20.9,7.3,8.1,5.3,0.1,0.8,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Other Non-Durable Medical Products,53.9,50.6,3.3,-  ,3.3,-  ,-  ,0.0,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Government Administration6 ,34.2,-  ,31.8,-  ,8.9,18.8,3.9,2.4,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Net Cost of Health Insurance7,165.2,-  ,154.8,112.3,25.8,15.7,1.0,10.4,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Government Public Health Activities,77.2,-  ,-  ,-  ,-  ,-  ,-  ,-  ,77.2,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Investment,153.3,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,153.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Research8,48.4,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Structures and Equipment,105.0,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Table 4 - Continued 
National Health Expenditures by Source of Funds and Type of Expenditure: Calendar Years 2011-2018          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year and Type of Expenditure,Total,Out of Pocket,Health Insurance,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs1,Other Third Party Payers2,Government Public Health Activities,Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 2013,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures,"$2,875.0",$326.9,"$2,079.2",$939.1,$588.9,$445.2,$105.9,$235.9,$79.0,$154.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Health Consumption Expenditures,"2,720.9",326.9,"2,079.2",939.1,588.9,445.2,105.9,235.9,79.0,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Personal Health Care,"2,431.2",326.9,"1,884.6",824.2,553.6,405.9,100.8,219.8,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Hospital Care,937.6,33.9,807.8,349.9,245.0,156.1,56.8,95.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Professional Services,759.6,119.2,574.5,330.2,150.7,65.7,27.9,65.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Physician and Clinical Services,569.6,53.4,457.7,249.6,132.1,51.5,24.5,58.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Other Professional Services,78.7,19.8,52.0,28.2,18.2,5.4,0.3,6.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Dental Services,111.2,46.0,64.8,52.4,0.5,8.8,3.1,0.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                    Other Health, Residential, and Personal Care3",144.3,5.9,97.0,10.4,5.1,79.6,1.9,41.4,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Home Health Care4,81.4,7.8,70.9,8.2,33.6,28.7,0.4,2.6,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                     Nursing Care Facilities and Continuing Care Retirement Communities4, 5",149.0,39.4,98.9,11.7,34.6,48.1,4.5,10.7,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Retail Outlet Sales of Medical Products,359.3,120.6,235.4,113.8,84.6,27.8,9.3,3.2,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Prescription Drugs,258.2,44.3,211.5,106.2,74.0,22.1,9.2,2.4,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Durable Medical Equipment,45.1,23.0,21.2,7.6,7.8,5.7,0.1,0.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Other Non-Durable Medical Products,56.0,53.3,2.7,-  ,2.7,-  ,-  ,0.0,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Government Administration6 ,37.5,-  ,33.0,-  ,8.6,20.3,3.7,4.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Net Cost of Health Insurance7,173.3,-  ,161.6,114.9,26.7,19.0,1.0,11.6,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Government Public Health Activities,79.0,-  ,-  ,-  ,-  ,-  ,-  ,-  ,79.0,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Investment,154.1,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,154.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Research8,46.7,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Structures and Equipment,107.5,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,107.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 2014,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures,"$3,025.4",$331.8,"$2,223.0",$994.1,$618.5,$497.8,$112.6,$238.8,$82.0,$149.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Health Consumption Expenditures,"2,875.6",331.8,"2,223.0",994.1,618.5,497.8,112.6,238.8,82.0,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Personal Health Care,"2,556.0",331.8,"2,003.7",869.5,580.5,446.6,107.1,220.6,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Hospital Care,978.2,32.8,849.4,366.2,252.7,169.8,60.7,95.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Professional Services,792.5,121.7,606.2,339.7,157.9,79.6,28.9,64.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Physician and Clinical Services,595.7,54.4,484.3,257.4,137.9,63.4,25.4,57.0,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Other Professional Services,83.0,21.0,54.9,28.8,19.6,6.3,0.3,7.1,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Dental Services,113.8,46.3,67.0,53.5,0.4,9.9,3.2,0.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                    Other Health, Residential, and Personal Care3",151.5,5.9,102.1,11.0,5.2,83.9,1.9,43.6,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Home Health Care4,84.8,8.0,74.2,9.2,34.3,30.3,0.5,2.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                     Nursing Care Facilities and Continuing Care Retirement Communities4, 5",152.4,39.6,101.6,12.2,35.6,49.1,4.7,11.2,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Retail Outlet Sales of Medical Products,396.6,123.7,270.1,131.0,94.8,33.9,10.3,2.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Prescription Drugs,292.4,45.6,244.9,122.6,84.8,27.3,10.2,2.0,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Durable Medical Equipment,46.7,22.9,22.9,8.5,7.8,6.6,0.1,0.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Other Non-Durable Medical Products,57.5,55.2,2.3,-  ,2.3,-  ,-  ,0.0,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Government Administration6 ,42.3,-  ,37.1,-  ,9.7,23.1,4.0,5.1,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Net Cost of Health Insurance7,195.3,-  ,182.2,124.6,28.4,28.1,1.1,13.0,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Government Public Health Activities,82.0,-  ,-  ,-  ,-  ,-  ,-  ,-  ,82.0,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Investment,149.8,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,149.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Research8,46.0,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Structures and Equipment,103.7,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,103.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Table 4 - Continued 
National Health Expenditures by Source of Funds and Type of Expenditure: Calendar Years 2011-2018         ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year and Type of Expenditure,Total,Out of Pocket,Health Insurance,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs1,Other Third Party Payers2,Government Public Health Activities,Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 2015,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures,"$3,199.6",$341.7,"$2,373.4","$1,060.9",$648.8,$542.6,$121.1,$244.6,$85.8,$154.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Health Consumption Expenditures,"3,045.5",341.7,"2,373.4","1,060.9",648.8,542.6,121.1,244.6,85.8,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Personal Health Care,"2,710.2",341.7,"2,142.9",936.5,607.1,484.1,115.2,225.6,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Hospital Care,"1,034.6",31.2,908.9,400.5,260.5,183.9,63.9,94.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Professional Services,837.9,127.9,641.1,355.4,166.2,87.5,32.1,68.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Physician and Clinical Services,631.2,56.5,513.4,271.6,144.4,69.1,28.3,61.3,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Other Professional Services,87.8,22.0,58.7,30.2,21.3,6.9,0.3,7.1,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Dental Services,118.8,49.4,69.0,53.5,0.5,11.5,3.5,0.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                    Other Health, Residential, and Personal Care3",164.5,5.7,113.0,12.7,5.0,93.1,2.2,45.8,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Home Health Care4,89.2,8.3,78.5,9.7,35.7,32.4,0.7,2.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                     Nursing Care Facilities and Continuing Care Retirement Communities4, 5",158.1,41.5,105.5,14.0,37.1,49.4,5.0,11.1,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Retail Outlet Sales of Medical Products,425.9,127.2,295.9,144.2,102.6,37.8,11.3,2.8,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Prescription Drugs,317.1,46.3,268.9,134.8,92.4,30.5,11.1,1.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Durable Medical Equipment,48.6,22.9,24.8,9.4,7.9,7.3,0.1,0.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Other Non-Durable Medical Products,60.2,57.9,2.3,-  ,2.3,-  ,-  ,0.0,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Government Administration6 ,42.8,-  ,38.1,-  ,9.8,23.6,4.3,4.7,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Net Cost of Health Insurance7,206.7,-  ,192.4,124.5,31.8,34.9,1.3,14.3,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Government Public Health Activities,85.8,-  ,-  ,-  ,-  ,-  ,-  ,-  ,85.8,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Investment,154.1,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,154.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Research8,46.4,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Structures and Equipment,107.7,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,107.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 2016,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures,"$3,347.4",$357.2,"$2,487.5","$1,119.9",$676.8,$565.4,$125.4,$257.3,$88.7,$156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Health Consumption Expenditures,"3,190.7",357.2,"2,487.5","1,119.9",676.8,565.4,125.4,257.3,88.7,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Personal Health Care,"2,838.3",357.2,"2,242.6",989.7,629.9,504.0,119.0,238.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Hospital Care,"1,089.5",32.1,959.0,431.0,272.4,189.2,66.4,98.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Professional Services,883.2,133.8,673.3,375.5,172.2,91.5,34.0,76.1,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
