"Table 10
Clinical Services Expenditures; Levels, Percent Change and Percent Distribution, 
2007,7.1 ,7.8 ,8.2 ,10.2 ,3.3 ,4.3 ,14.3 ,3.8 ,,,
2008,6.7 ,5.1 ,7.6 ,8.8 ,2.7 ,7.3 ,8.8 ,4.3 ,,,
2009,6.3 ,-0.7 ,8.9 ,6.3 ,11.6 ,12.7 ,8.5 ,0.8 ,,,
2010,4.9 ,7.0 ,5.3 ,5.7 ,2.6 ,6.7 ,3.9 ,3.0 ,,,
2011,6.0 ,5.3 ,6.8 ,4.5 ,4.8 ,8.4 ,13.5 ,3.5 ,,,
2012,6.8 ,9.2 ,6.3 ,6.7 ,7.3 ,4.1 ,8.6 ,7.5 ,,,
2013,4.7 ,4.5 ,4.8 ,4.3 ,2.7 ,5.2 ,7.7 ,4.4 ,,,
2014,6.0 ,2.9 ,9.2 ,5.2 ,2.6 ,21.4 ,5.1 ,-3.8 ,,,
2015,8.2 ,8.3 ,7.8 ,6.5 ,2.5 ,11.6 ,8.2 ,9.3 ,,,
2016,7.6 ,8.4 ,9.1 ,12.9 ,3.1 ,7.4 ,5.8 ,2.0 ,,,
2017,6.7 ,4.4 ,6.2 ,7.2 ,2.1 ,5.7 ,6.8 ,9.4 ,,,
2018,6.0 ,9.4 ,5.4 ,6.2 ,10.6 ,3.2 ,4.3 ,6.8 ,,,
,Percent Distribution,,,,,,,,,,
1998,100.0%,9.2%,56.5%,30.1%,7.5%,13.6%,5.2%,34.4%,,,
1999,100.0 ,8.9 ,57.5 ,30.1 ,7.8 ,14.2 ,5.3 ,33.6 ,,,
2000,100.0 ,7.8 ,61.2 ,31.5 ,8.3 ,15.7 ,5.7 ,31.0 ,,,
2001,100.0 ,7.6 ,62.5 ,31.0 ,8.7 ,16.2 ,6.6 ,29.9 ,,,
2002,100.0 ,7.0 ,64.8 ,30.6 ,9.8 ,17.1 ,7.3 ,28.2 ,,,
2003,100.0 ,7.1 ,65.7 ,31.6 ,9.6 ,17.2 ,7.4 ,27.3 ,,,
2004,100.0 ,7.1 ,67.4 ,32.5 ,9.4 ,17.7 ,7.8 ,25.5 ,,,
2005,100.0 ,7.3 ,68.4 ,33.2 ,9.3 ,18.1 ,7.8 ,24.3 ,,,
2006,100.0 ,7.3 ,67.7 ,31.4 ,9.3 ,18.2 ,8.8 ,25.0 ,,,
2007,100.0 ,7.3 ,68.4 ,32.3 ,9.0 ,17.7 ,9.4 ,24.3 ,,,
2008,100.0 ,7.2 ,69.1 ,33.0 ,8.7 ,17.8 ,9.6 ,23.7 ,,,
2009,100.0 ,6.7 ,70.8 ,33.0 ,9.1 ,18.9 ,9.8 ,22.5 ,,,
2010,100.0 ,6.9 ,71.1 ,33.2 ,8.9 ,19.2 ,9.7 ,22.1 ,,,
2011,100.0 ,6.8 ,71.6 ,32.8 ,8.8 ,19.7 ,10.4 ,21.6 ,,,
2012,100.0 ,7.0 ,71.3 ,32.8 ,8.8 ,19.2 ,10.6 ,21.7 ,,,
2013,100.0 ,7.0 ,71.4 ,32.6 ,8.7 ,19.3 ,10.9 ,21.6 ,,,
2014,100.0 ,6.7 ,73.6 ,32.4 ,8.4 ,22.1 ,10.8 ,19.6 ,,,
2015,100.0 ,6.8 ,73.4 ,31.9 ,8.0 ,22.8 ,10.8 ,19.9 ,,,
2016,100.0 ,6.8 ,74.4 ,33.5 ,7.6 ,22.7 ,10.6 ,18.8 ,,,
2017,100.0 ,6.7 ,74.0 ,33.6 ,7.3 ,22.5 ,10.6 ,19.3 ,,,
2018,100.0 ,6.9 ,73.7 ,33.7 ,7.6 ,21.9 ,10.4 ,19.5 ,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable. The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
