"Table 9
Physician Services Expenditures; Levels, Percent Change and Percent Distribution, 
2007,4.9 ,4.3 ,4.6 ,3.9 ,5.2 ,6.4 ,12.0 ,7.7 ,,,
2008,5.0 ,2.8 ,5.5 ,3.3 ,8.6 ,7.0 ,18.0 ,3.4 ,,,
2009,2.6 ,-3.4 ,4.1 ,1.3 ,7.6 ,11.2 ,11.8 ,-4.9 ,,,
2010,2.6 ,7.3 ,2.0 ,0.4 ,3.4 ,8.5 ,4.7 ,2.4 ,,,
2011,4.2 ,6.1 ,4.6 ,4.6 ,5.6 ,1.4 ,2.1 ,-2.6 ,,,
2012,3.3 ,-0.7 ,3.2 ,2.5 ,4.7 ,3.8 ,0.9 ,10.0 ,,,
2013,1.6 ,2.5 ,1.7 ,-0.5 ,3.1 ,13.3 ,0.7 ,0.1 ,,,
2014,4.2 ,1.7 ,5.0 ,2.8 ,4.6 ,24.5 ,2.7 ,-1.5 ,,,
2015,5.4 ,3.0 ,5.6 ,5.3 ,4.9 ,6.9 ,14.2 ,6.2 ,,,
2016,4.9 ,3.4 ,3.9 ,4.3 ,3.3 ,2.3 ,6.9 ,18.2 ,,,
2017,4.2 ,1.7 ,4.7 ,4.1 ,6.1 ,3.0 ,5.3 ,2.0 ,,,
2018,3.6 ,0.3 ,5.0 ,3.4 ,7.6 ,2.6 ,12.7 ,-7.6 ,,,
,Percent Distribution,,,,,,,,,,
1998,100.0%,12.0%,79.0%,50.6%,22.7%,4.7%,1.0%,9.0%,,,
1999,100.0 ,11.8 ,79.3 ,50.5 ,23.0 ,4.5 ,1.3 ,8.9 ,,,
2000,100.0 ,11.8 ,79.9 ,50.6 ,23.2 ,4.6 ,1.5 ,8.2 ,,,
2001,100.0 ,11.4 ,80.5 ,51.1 ,23.0 ,4.8 ,1.6 ,8.2 ,,,
2002,100.0 ,11.1 ,81.0 ,51.8 ,22.4 ,5.0 ,1.9 ,7.9 ,,,
2003,100.0 ,10.9 ,81.1 ,51.9 ,22.4 ,4.7 ,2.0 ,8.0 ,,,
2004,100.0 ,10.6 ,80.9 ,50.9 ,23.1 ,5.0 ,2.0 ,8.5 ,,,
2005,100.0 ,10.7 ,81.0 ,51.0 ,23.1 ,5.0 ,1.9 ,8.3 ,,,
2006,100.0 ,10.6 ,81.4 ,50.8 ,23.5 ,5.0 ,2.1 ,8.0 ,,,
2007,100.0 ,10.5 ,81.3 ,50.4 ,23.6 ,5.1 ,2.2 ,8.2 ,,,
2008,100.0 ,10.3 ,81.6 ,49.6 ,24.4 ,5.2 ,2.5 ,8.1 ,,,
2009,100.0 ,9.7 ,82.8 ,48.9 ,25.6 ,5.6 ,2.7 ,7.5 ,,,
2010,100.0 ,10.1 ,82.4 ,47.9 ,25.8 ,5.9 ,2.8 ,7.5 ,,,
2011,100.0 ,10.3 ,82.7 ,48.0 ,26.2 ,5.7 ,2.7 ,7.0 ,,,
2012,100.0 ,9.9 ,82.6 ,47.7 ,26.5 ,5.8 ,2.7 ,7.5 ,,,
2013,100.0 ,10.0 ,82.6 ,46.7 ,26.9 ,6.4 ,2.6 ,7.4 ,,,
2014,100.0 ,9.8 ,83.3 ,46.0 ,27.0 ,7.7 ,2.6 ,7.0 ,,,
2015,100.0 ,9.5 ,83.4 ,46.0 ,26.8 ,7.8 ,2.8 ,7.0 ,,,
2016,100.0 ,9.4 ,82.7 ,45.8 ,26.5 ,7.6 ,2.9 ,7.9 ,,,
2017,100.0 ,9.2 ,83.1 ,45.7 ,27.0 ,7.5 ,2.9 ,7.7 ,,,
2018,100.0 ,8.9 ,84.2 ,45.6 ,28.0 ,7.5 ,3.1 ,6.9 ,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable. The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
