Table 30: Private Health Insurance Enrollment -  2001-2014  (in Thousands),,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(2001-2014)",,,,,,,,,
Montana,610,612,579,589,614,611,626,630,610,634,610,596,610,644,0.4%,,,,,,,,,
Utah,"1,690","1,730","1,805","1,787","1,766","1,808","1,953","2,172","2,159","2,060","2,104","2,168","2,200","2,262",2.3%,,,,,,,,,
Wyoming,341,337,331,353,344,363,366,360,357,363,364,365,392,389,1.0%,,,,,,,,,
Far West,"31,445","32,230","31,750","31,434","31,860","31,981","32,352","32,172","31,038","30,393","30,319","30,835","30,937","31,834",0.1%,,,,,,,,,
Alaska,412,390,394,404,402,417,418,408,401,412,412,410,446,418,0.1%,,,,,,,,,
California,"21,798","22,870","22,391","21,818","21,999","22,045","22,152","22,174","21,394","20,877","20,828","21,183","21,245","21,970",0.1%,,,,,,,,,
Hawaii,895,896,936,928,946,928,931,881,828,858,849,835,835,856,-0.3%,,,,,,,,,
Nevada,"1,547","1,443","1,516","1,615","1,649","1,651","1,756","1,693","1,648","1,604","1,590","1,614","1,637","1,694",0.7%,,,,,,,,,
Oregon,"2,469","2,472","2,402","2,442","2,461","2,459","2,529","2,600","2,477","2,413","2,401","2,453","2,437","2,427",-0.1%,,,,,,,,,
Washington,"4,322","4,160","4,111","4,227","4,403","4,481","4,566","4,416","4,289","4,230","4,238","4,340","4,338","4,468",0.3%,,,,,,,,,
NOTE: Numbers may not add to totals shown because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: Centers for Medicare and Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
