"Table 19
,,,,State and Local,,"1,442",397,336,30,171,,119,8,1,,127,13,— ,,,135,—,105,—,,—,—,—,,,
,,,Department of Defense,,,"41,722","15,968","16,546",— ,"1,626",,— ,— ,— ,,"4,983",— ,— ,,,—,"2,598",—,—,,—,—,—,,,
,,,Department of Veterans' Affairs,,,"78,025","51,532","13,649",— ,244,,"1,046",758,"5,646",,"4,344",— ,— ,,,—,807,—,—,,—,—,—,,,
,,Other Third Party Payers and Programs,,,,"276,939","110,093","70,354","7,350",560,,"52,454","2,840","12,898",,"1,750",956,— ,,,"1,943","1,000","14,741",—,,—,—,—,,,
,,,Worksite Health Care,,,"7,175",— ,— ,— ,— ,,"7,175",— ,— ,,— ,— ,— ,,,—,—,—,—,,—,—,—,,,
,,,Other Private Revenues,,,"149,185","69,282","47,948","4,932",171,,"15,643","1,633","9,576",,— ,— ,— ,,,—,—,—,—,,—,—,—,,,
,,,Indian Health Services ,,,"4,079","2,073","1,061",— ,221,,475,— ,— ,,29,10,— ,,,—,212,—,—,,—,—,—,,,
,,,Workers' Compensation,,,"47,572","15,933","12,249","1,370",— ,,— ,— ,— ,,700,758,— ,,,"1,691",130,"14,741",—,,—,—,—,,,
,,,General Assistance,,,"6,115","2,817",825,61,135,,611,327,380,,937,22,— ,,,—,—,—,—,,—,—,—,,,
,,,Maternal/Child Health,,,"3,957",352,198,978,33,,"2,009",— ,— ,,77,68,— ,,,237,3,—,—,,—,—,—,,,
,,,,Federal,,584,56,63,201,10,,203,— ,— ,,30,16,— ,,,—,3,—,—,,—,—,—,,,
,,,,State and Local,,"3,373",296,135,776,23,,"1,806",— ,— ,,47,52,— ,,,237,—,—,—,,—,—,—,,,
,,,Vocational Rehabilitation,,,557,126,275,— ,— ,,— ,— ,— ,,— ,93,— ,,,14,48,—,—,,—,—,—,,,
,,,,Federal,,429,98,211,— ,— ,,— ,— ,— ,,— ,72,— ,,,—,48,—,—,,—,—,—,,,
,,,,State and Local,,128,29,64,— ,— ,,— ,— ,— ,,— ,21,— ,,,14,—,—,—,,—,—,—,,,
,,,Other Federal Programs,,,"12,827","1,717","6,479",— ,— ,,"4,110",— ,— ,,— ,— ,— ,,,—,521,— ,—,,—,—,—,,,
,,,SAMHSA,,,"5,512",179,"1,241",— ,— ,,"4,006",— ,— ,,— ,— ,— ,,,—,85,—,—,,—,—,—,,,
,,,Other State and Local Programs,,,"34,384","17,614",79,10,— ,,"12,851",879,"2,941",,7,3,— ,,,—,—,—,—,,—,—,—,,,
,,,School Health,,,"5,574",— ,— ,— ,— ,,"5,574",— ,— ,,— ,— ,— ,,,—,—,—,—,,—,—,—,,,
,,Government Public Health Activities,,,,"93,522",— ,— ,— ,— , ,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,"93,522",,—,—,—,,,
,,,,Federal,,"12,008",— ,— ,— ,— ,,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,"12,008",,—,—,—,,,
,,,,State and Local,,"81,515",— ,— ,— ,— ,,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,"81,515",,—,—,—,,,
,Investment,,,,,"174,364",— ,— ,— ,— ,,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,— ,,"52,562","56,855","64,947",,,
,,Research,,,,"52,562",— ,— ,— ,— ,,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,— ,,"52,562",—,—,,,
,,,,Private,,"5,716",— ,— ,— ,— ,,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,— ,,"5,716",—,—,,,
,,,,Federal,,"39,504",— ,— ,— ,— ,,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,— ,,"39,504",—,—,,,
,,,,State and Local,,"7,342",— ,— ,— ,— ,,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,— ,,"7,342",—,—,,,
,,Structures & Equipment,,,,"121,802",— ,— ,— ,— ,,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,— ,,— ,"56,855","64,947",,,
,,,,Private,,"95,758",— ,— ,— ,— ,,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,— ,,— ,"49,206","46,552",,,
,,,,Federal,,"8,514",— ,— ,— ,— ,,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,— ,,— ,"1,845","6,669",,,
,,,,State and Local,,"17,530",— ,— ,— ,— ,,— ,— ,— ,,— ,— ,— ,,,— ,— ,— ,— ,,— ,"5,804","11,726",,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
