"Table 5-6
Private Business ,,16.2,17.4,14.4,7.0,8.2,6.0,3.9,7.0,8.4,2.5,8.0,10.3,10.8,8.4,8.8,8.7,5.8,6.4,2.4,5.3,1.4,2.6,0.6,4.4,4.0,0.7,4.1,3.9,5.6,5.5,7.2
"Private Business Contribution to Employer-Sponsored Private 
   Health Insurance Premiums1",,16.2,17.4,14.4,7.0,8.2,6.0,3.9,7.0,8.4,2.5,8.0,10.3,10.8,8.4,8.8,8.7,5.8,6.4,2.4,5.3,1.4,2.6,0.6,4.4,4.0,0.7,4.1,3.9,5.6,5.5,7.2
Households  ,,18.0,13.9,12.0,11.8,6.4,9.1,4.4,5.8,1.8,7.3,7.0,4.4,7.6,10.1,14.9,10.1,7.3,5.4,5.8,4.4,7.0,2.7,3.9,2.2,4.8,2.7,3.1,7.7,4.4,4.9,3.7
"Household Contribution to Employer-Sponsored Private Health
   Insurance Premiums2",,23.8,18.6,13.3,13.8,5.9,7.5,4.8,11.7,4.5,10.3,7.0,3.0,8.5,11.3,14.8,9.1,8.2,7.0,8.1,7.3,9.6,1.1,3.0,1.6,5.0,0.9,-1.7,6.9,4.3,6.8,3.4
Household Contribution to Direct Purchase Insurance3,,13.9,6.8,11.7,8.6,7.6,9.9,2.8,0.4,-0.3,4.7,3.4,7.8,6.8,5.9,11.8,9.6,6.0,1.0,-2.2,-2.3,2.7,9.7,10.0,7.0,5.7,9.9,22.4,12.3,1.8,-2.4,3.0
Medical Portion of Property and Casualty Insurance4,,6.2,7.0,7.6,8.2,7.2,14.1,5.0,-9.9,-8.1,-5.2,12.1,7.6,4.1,8.8,19.9,16.4,4.4,2.1,2.8,-5.2,-5.7,5.6,2.5,-0.6,2.5,4.7,6.6,3.8,10.9,6.2,7.4
Federal Government            ,,32.1,26.0,22.1,-0.8,9.0,7.8,3.5,-4.4,-0.3,0.5,0.2,15.7,8.2,10.2,12.1,11.6,9.4,7.3,21.5,1.5,1.3,13.3,7.0,12.7,-11.1,-1.4,51.2,23.6,13.8,13.0,15.9
"Federal  Government Contribution to Employer-Sponsored
   Private Health Insurance Premiums",,32.1,26.0,22.1,-0.8,9.0,7.8,3.5,-4.4,-0.3,0.5,0.2,15.7,8.2,10.2,12.1,11.6,9.4,7.3,5.0,1.5,2.0,6.5,6.3,8.0,2.5,2.6,2.6,2.1,6.6,3.6,2.3
Marketplace Tax Credits and Subsidies5,,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,60.5,18.2,21.7,25.5
Other Federal6,,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,1.8,-2.9,58.2,9.9,32.9,-59.3,-37.0,-32.7,65.6,62.9,25.2,39.5
State and Local Government ,,21.4,17.0,17.8,14.6,8.6,9.5,6.6,1.9,6.7,8.0,4.8,9.7,11.6,13.4,16.2,12.1,10.2,9.3,9.2,7.3,1.7,6.3,12.0,2.8,3.5,4.3,6.3,7.2,4.6,0.2,1.6
"State and Local Government Contribution to 
   Employer-Sponsored Private Health Insurance Premiums7",,21.4,17.0,17.8,14.6,8.6,9.5,6.6,1.9,6.7,8.0,4.8,9.7,11.6,13.4,16.2,12.1,10.2,9.3,9.2,7.3,1.7,6.3,12.0,2.8,3.5,4.3,6.3,7.2,4.6,0.2,1.6
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance ,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Private Business ,52.3,51.6,52.0,52.1,51.1,51.4,50.6,50.4,51.1,52.5,51.4,51.8,52.7,53.2,52.7,51.3,50.8,50.2,50.2,48.9,49.0,48.1,47.7,46.3,46.6,46.8,46.3,45.5,44.3,44.3,44.5,45.1
"Private Business Contribution to Employer-Sponsored Private 
   Health Insurance Premiums1",52.3,51.6,52.0,52.1,51.1,51.4,50.6,50.4,51.1,52.5,51.4,51.8,52.7,53.2,52.7,51.3,50.8,50.2,50.2,48.9,49.0,48.1,47.7,46.3,46.6,46.8,46.3,45.5,44.3,44.3,44.5,45.1
Households  ,34.5,34.5,33.7,33.1,33.9,33.5,34.0,34.0,34.1,32.8,33.7,33.7,32.4,31.8,31.9,32.8,32.9,33.0,32.7,32.9,32.7,33.9,33.6,33.7,33.2,33.6,33.8,33.0,33.3,32.9,32.9,32.3
"Household Contribution to Employer-Sponsored Private Health
   Insurance Premiums2",19.7,20.7,21.1,20.9,21.8,21.4,21.4,21.5,22.8,22.5,23.8,23.8,22.6,22.3,22.7,23.3,23.2,23.4,23.5,24.2,24.7,26.2,25.6,25.4,24.9,25.2,25.0,23.2,23.3,23.0,23.4,22.9
Household Contribution to Direct Purchase Insurance3,7.7,7.5,6.8,6.7,6.7,6.7,6.8,6.7,6.4,6.0,6.0,5.8,5.8,5.6,5.4,5.4,5.4,5.4,5.1,4.8,4.4,4.4,4.7,4.9,5.1,5.2,5.6,6.5,6.8,6.6,6.1,6.0
Medical Portion of Property and Casualty Insurance4,7.0,6.3,5.8,5.5,5.4,5.4,5.8,5.8,4.9,4.3,3.9,4.1,4.0,3.8,3.8,4.1,4.3,4.2,4.1,4.0,3.6,3.3,3.3,3.3,3.2,3.1,3.2,3.2,3.2,3.3,3.4,3.4
Federal Government            ,3.3,3.7,4.0,4.2,3.8,3.9,3.9,3.9,3.5,3.3,3.2,3.0,3.2,3.1,3.1,3.1,3.2,3.3,3.3,3.8,3.7,3.6,4.0,4.1,4.4,3.8,3.7,5.3,6.1,6.6,7.1,7.8
"Federal  Government Contribution to Employer-Sponsored
   Private Health Insurance Premiums",3.3,3.7,4.0,4.2,3.8,3.9,3.9,3.9,3.5,3.3,3.2,3.0,3.2,3.1,3.1,3.1,3.2,3.3,3.3,3.3,3.2,3.1,3.2,3.3,3.5,3.4,3.4,3.3,3.2,3.2,3.2,3.1
Marketplace Tax Credits and Subsidies5,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,1.8,2.7,3.0,3.5,4.1
Other Federal6,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,0.5,0.5,0.5,0.7,0.8,1.0,0.4,0.2,0.2,0.2,0.4,0.4,0.6
State and Local Government ,9.9,10.2,10.3,10.6,11.1,11.2,11.4,11.7,11.3,11.4,11.8,11.5,11.7,11.9,12.3,12.8,13.1,13.4,13.8,14.3,14.6,14.4,14.8,16.0,15.8,15.8,16.2,16.3,16.4,16.2,15.5,14.9
"State and Local Government Contribution to 
   Employer-Sponsored Private Health Insurance Premiums7",9.9,10.2,10.3,10.6,11.1,11.2,11.4,11.7,11.3,11.4,11.8,11.5,11.7,11.9,12.3,12.8,13.1,13.4,13.8,14.3,14.6,14.4,14.8,16.0,15.8,15.8,16.2,16.3,16.4,16.2,15.5,14.9
"1Excludes Medicare Retiree Drug Subsidy (RDS) payments to private employer plans beginning in 2006, small business tax credits beginning in 2010, and Early Retirement Reinsurance Program (ERRP) payments for 2010-2011.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Excludes government subsidy payments for COBRA coverage for 2009-2011. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Excludes Affordable Care Act (ACA) health insurance premium tax credits and cost-sharing subsidies beginning in 2014.  Includes payments for the Basic Health Program beginning in 2015.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4Includes the portion of the premium expenditures for property and casualty insurance that are used to pay medical claims for automobile, homeowners multi-peril, or other liability insurance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5Affordable Care Act (ACA) health insurance premium tax credits and cost-sharing subsidies beginning in 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6Includes Medicare Retiree Drug Subsidy (RDS) payments to private business and state and local government employer plans beginning in 2006, government subsidy payments for COBRA coverage for 2009-2011, small business tax credits beginning in 2010, Early Retirement Reinsurance Program (ERRP) payments for 2010-2011, and payments for the Basic Health Program beginning in 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Excludes Medicare Retiree Drug Subsidy (RDS) payments to state and local government employer plans beginning in 2006 and Early Retirement Reinsurance Program (ERRP) payments for 2010-2011.  Includes payments for the Basic Health Program beginning in 2015.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:  Numbers and percents may not add to totals because of rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
