"Table 5-3
     Federal General Revenue and Medicare Net Trust Fund Expenditures1,,-5.1 ,29.9 ,28.8 ,6.7 ,33.9 ,21.0 ,8.0 ,11.9 ,15.7 ,4.9 ,-17.1 ,-12.8 ,-2.5 ,37.6 ,20.1 ,13.5 ,15.8 ,12.1 ,30.9 ,8.1 ,14.5 ,18.9 ,6.6 ,4.0 ,3.1 ,2.1 ,3.8 ,4.9 ,3.4 ,1.3 ,6.5 ,,,,,,,,,,,
     Federal Portion of Medicaid Payments,,11.2 ,13.2 ,21.5 ,33.4 ,20.7 ,12.2 ,5.3 ,6.0 ,6.0 ,4.2 ,3.9 ,8.6 ,9.0 ,13.1 ,9.9 ,10.7 ,7.2 ,3.0 ,-2.0 ,6.7 ,9.5 ,21.8 ,7.7 ,-7.2 ,-1.6 ,5.5 ,19.0 ,12.1 ,4.5 ,0.3 ,3.2 ,,,,,,,,,,,
     Federal Portion of Medicare Buy-in Premiums,,26.3 ,40.8 ,14.8 ,43.1 ,16.4 ,23.9 ,24.3 ,16.2 ,5.9 ,6.7 ,2.4 ,7.2 ,2.0 ,10.5 ,11.4 ,14.3 ,17.2 ,21.8 ,15.2 ,8.2 ,9.6 ,14.7 ,19.9 ,-3.5 ,-12.3 ,5.9 ,1.1 ,1.9 ,16.4 ,10.3 ,3.5 ,,,,,,,,,,,
"     Retiree Drug Subsidy Payments to Employer-Sponsored Health
         Insurance Plans",,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,1.8 ,-2.9 ,2.6 ,-0.2 ,-7.4 ,-15.5 ,-43.1 ,-19.9 ,-16.3 ,-13.2 ,-12.5 ,-8.4 ,,,,,,,,,,,
     Other Federal Health Insurance and Programs2,,7.5 ,5.7 ,10.9 ,10.4 ,5.8 ,7.3 ,5.4 ,3.1 ,-0.1 ,3.9 ,6.8 ,9.3 ,10.2 ,12.7 ,13.6 ,12.2 ,7.2 ,4.8 ,5.7 ,4.7 ,7.1 ,10.5 ,8.3 ,3.5 ,-0.9 ,0.9 ,3.2 ,6.0 ,4.9 ,5.8 ,5.6 ,,,,,,,,,,,
     Marketplace Tax Credits and Subsidies3,,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,60.5,18.2,21.7,25.5,,,,,,,,,,,
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,,,,,,,,,,,
"     Federal Government Contribution to Employer-Sponsored Private Health
        Insurance Premiums",5.7 ,7.0 ,7.8 ,8.0 ,6.8 ,6.3 ,6.0 ,5.9 ,5.3 ,4.9 ,4.8 ,4.9 ,5.4 ,5.5 ,5.2 ,5.1 ,5.1 ,5.1 ,5.1 ,4.9 ,4.7 ,4.3 ,3.9 ,3.9 ,4.2 ,4.3 ,4.3 ,4.0 ,3.7 ,3.8 ,3.8 ,3.7 ,,,,,,,,,,,
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,2.1 ,2.0 ,1.9 ,1.7 ,1.6 ,1.4 ,1.2 ,1.2 ,1.1 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,0.9 ,0.8 ,0.8 ,0.8 ,0.7 ,0.7 ,0.7 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.5 ,0.5 ,0.5 ,0.4 ,0.4 ,0.4 ,,,,,,,,,,,
     Federal General Revenue and Medicare Net Trust Fund Expenditures1,20.5 ,18.1 ,20.6 ,22.3 ,20.3 ,23.2 ,24.9 ,25.4 ,26.8 ,29.1 ,29.3 ,24.7 ,20.7 ,18.9 ,22.2 ,23.5 ,23.9 ,25.3 ,26.7 ,31.7 ,32.2 ,33.5 ,34.0 ,33.8 ,35.2 ,36.2 ,36.0 ,33.6 ,32.4 ,32.0 ,31.5 ,31.8 ,,,,,,,,,,,
     Federal Portion of Medicaid Payments,32.8 ,33.9 ,33.6 ,34.3 ,39.2 ,40.2 ,40.2 ,39.9 ,39.9 ,39.6 ,39.7 ,41.9 ,43.9 ,44.8 ,43.2 ,41.9 ,41.5 ,40.6 ,39.4 ,35.0 ,35.1 ,35.0 ,36.4 ,36.4 ,33.9 ,33.3 ,34.2 ,36.6 ,37.7 ,37.6 ,36.7 ,35.9 ,,,,,,,,,,,
     Federal Portion of Medicare Buy-in Premiums,0.4 ,0.4 ,0.5 ,0.5 ,0.6 ,0.6 ,0.7 ,0.8 ,0.9 ,0.9 ,0.9 ,1.0 ,1.0 ,0.9 ,0.9 ,0.9 ,0.9 ,1.0 ,1.1 ,1.1 ,1.2 ,1.2 ,1.1 ,1.3 ,1.2 ,1.1 ,1.1 ,1.0 ,0.9 ,1.0 ,1.1 ,1.1 ,,,,,,,,,,,
"     Retiree Drug Subsidy Payments to Employer-Sponsored Health
         Insurance Plans",—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,0.8 ,0.7 ,0.6 ,0.6 ,0.5 ,0.5 ,0.4 ,0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,,,,,,,,,,,
     Other Federal Health Insurance and Programs2,38.5 ,38.5 ,35.7 ,33.3 ,31.4 ,28.3 ,27.0 ,26.9 ,26.1 ,24.4 ,24.4 ,26.5 ,27.9 ,28.8 ,27.7 ,27.8 ,27.9 ,27.3 ,26.9 ,25.8 ,25.4 ,24.8 ,23.4 ,23.5 ,24.4 ,24.2 ,23.7 ,22.0 ,21.5 ,21.5 ,22.1 ,22.1 ,,,,,,,,,,,
     Marketplace Tax Credits and Subsidies3,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,2.1 ,3.1 ,3.5 ,4.2 ,4.9 ,,,,,,,,,,,
"1Excludes Medicare Hospital Trust Fund payroll taxes and premiums, Medicare Supplementary Medical Insurance premiums, Part D state phase-down payments to Medicare beginning in 2006, Medicare premium buy-in programs by Medicaid for people eligible for both Medicaid and Medicare (dual eligibles), and Trust Fund revenues from the income taxation of Social Security benefits. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Includes maternal and child health, vocational rehabilitation, Substance Abuse and Mental Health Services Administration, Indian Health Service, federal workers’ compensation, other federal programs, public health activities, Department of Defense, Department of Veterans Affairs, Children's Health Insurance Program Titles XIX and XXI (CHIP), and investment (research, structures and equipment).  Also includes government subsidy payments for COBRA coverage for 2009-2011, small business tax credits beginning in 2010, Early Retirement Reinsurance Program (ERRP) payments for 2010-2011, and payments for the Basic Health Program beginning in 2015.  Excludes premiums paid for the Pre-existing Condition Insurance Program (PCIP) for 2010-2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Affordable Care Act (ACA) health insurance premium tax credits and cost-sharing subsidies beginning in 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES: Numbers and percents may not add to totals because of rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare and Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
