"Table 5-5
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes1,29.5 ,29.4 ,27.7 ,26.6 ,27.0 ,25.3 ,23.9 ,24.1 ,23.4 ,23.0 ,23.5 ,25.6 ,26.9 ,27.6 ,25.5 ,23.7 ,22.7 ,22.0 ,21.3 ,19.1 ,18.8 ,17.6 ,15.5 ,15.2 ,15.2 ,15.3 ,15.3 ,15.4 ,15.4 ,15.2 ,15.2 ,15.1 
Households  ,43.0 ,45.3 ,44.5 ,41.6 ,41.6 ,39.1 ,37.9 ,38.9 ,39.2 ,37.5 ,37.3 ,40.4 ,42.8 ,44.0 ,40.8 ,39.2 ,38.2 ,37.3 ,37.0 ,34.8 ,34.5 ,33.5 ,31.2 ,30.9 ,30.8 ,31.4 ,32.2 ,32.8 ,32.9 ,33.2 ,34.1 ,34.5 
     Employee and Self-Employment Payroll Taxes and Voluntary Premiums Paid to Medicare Hospital Insurance Trust Fund 2,35.5 ,35.4 ,33.3 ,32.4 ,33.0 ,30.9 ,29.2 ,30.2 ,30.3 ,29.8 ,29.9 ,33.0 ,35.2 ,36.7 ,33.5 ,31.8 ,30.5 ,29.4 ,28.4 ,25.7 ,25.2 ,24.0 ,21.7 ,21.5 ,21.5 ,22.1 ,22.1 ,22.7 ,22.9 ,22.9 ,23.0 ,22.5 
"     Premiums Paid by Individuals to Medicare Supplementary Medical Insurance
         Trust Fund 3",7.4 ,9.9 ,11.2 ,9.3 ,8.6 ,8.2 ,8.7 ,8.7 ,8.9 ,7.7 ,7.4 ,7.4 ,7.7 ,7.3 ,7.3 ,7.5 ,7.7 ,7.9 ,8.6 ,9.1 ,9.3 ,9.5 ,9.5 ,9.4 ,9.4 ,9.3 ,10.0 ,10.2 ,10.0 ,10.4 ,11.1 ,12.0 
Federal Government            ,23.5 ,21.1 ,23.7 ,27.6 ,27.2 ,31.6 ,34.3 ,33.2 ,33.6 ,35.9 ,35.5 ,30.0 ,26.1 ,24.2 ,29.6 ,33.0 ,35.1 ,36.8 ,37.8 ,41.3 ,41.6 ,44.0 ,48.8 ,50.1 ,49.5 ,48.7 ,48.0 ,47.4 ,47.3 ,47.1 ,45.9 ,45.9 
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,2.1 ,2.1 ,1.9 ,1.9 ,1.9 ,1.7 ,1.5 ,1.4 ,1.3 ,1.2 ,1.2 ,1.2 ,1.2 ,1.2 ,1.1 ,1.1 ,1.1 ,1.1 ,1.0 ,0.9 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.7 ,0.7 ,0.7 ,0.7 ,0.6 ,0.6 ,0.6 
     Federal General Revenue and  Medicare Net Trust Fund Expenditures 4,21.0 ,18.6 ,21.2 ,25.1 ,24.5 ,29.0 ,31.9 ,30.8 ,31.3 ,33.6 ,33.3 ,27.7 ,23.8 ,22.0 ,27.4 ,30.8 ,32.8 ,34.5 ,35.4 ,39.0 ,39.3 ,41.7 ,46.4 ,47.5 ,47.1 ,46.6 ,45.9 ,45.4 ,45.4 ,45.0 ,43.8 ,43.8 
     Federal Portion of Medicare Buy-in Premiums,0.4 ,0.5 ,0.6 ,0.6 ,0.8 ,0.8 ,0.9 ,1.0 ,1.1 ,1.0 ,1.0 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.2 ,1.3 ,1.5 ,1.4 ,1.4 ,1.4 ,1.5 ,1.8 ,1.6 ,1.4 ,1.4 ,1.4 ,1.3 ,1.5 ,1.6 ,1.5 
State and Local Government,4.1 ,4.2 ,4.0 ,4.2 ,4.2 ,4.0 ,3.9 ,3.9 ,3.8 ,3.7 ,3.7 ,4.0 ,4.1 ,4.2 ,4.1 ,4.1 ,4.0 ,3.9 ,3.9 ,4.9 ,5.1 ,4.9 ,4.6 ,3.8 ,4.5 ,4.6 ,4.6 ,4.4 ,4.3 ,4.5 ,4.7 ,4.5 
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,3.8 ,3.9 ,3.6 ,3.8 ,3.7 ,3.4 ,3.3 ,3.2 ,3.0 ,3.0 ,3.0 ,3.2 ,3.3 ,3.4 ,3.3 ,3.2 ,3.2 ,3.0 ,2.9 ,2.6 ,2.5 ,2.5 ,2.4 ,2.3 ,2.2 ,2.1 ,2.1 ,2.1 ,2.0 ,2.0 ,2.0 ,1.9 
     State Phase Down Payments (Part D),—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,1.4 ,1.6 ,1.5 ,1.5 ,0.8 ,1.3 ,1.5 ,1.5 ,1.4 ,1.4 ,1.5 ,1.6 ,1.6 
     State Portion of Medicare Buy-in Premiums,0.3 ,0.3 ,0.4 ,0.4 ,0.5 ,0.5 ,0.6 ,0.7 ,0.7 ,0.7 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.9 ,1.0 ,1.0 ,1.0 ,0.9 ,0.7 ,0.8 ,1.0 ,1.0 ,1.0 ,0.9 ,0.9 ,1.0 ,1.1 ,1.0 
1Includes one-half of self-employment contributions to the Medicare Hospital Insurance (HI) Trust Fund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Includes one-half of self-employment contributions to the Medicare HI Trust Fund and Trust Fund revenues from the income taxation of Social Security benefits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Excludes Medicaid buy-ins for the Medicare premiums of people eligible for both Medicaid and Medicare (dual eligibles).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4Excludes Medicare Hl Trust Fund payroll taxes and premiums, Medicare Supplementary Medical Insurance premiums, Part D state phase-down payments to Medicare beginning in 2006, Medicare premium buy-in programs by Medicaid for people eligible for both Medicaid and Medicare (dual eligibles), and Trust Fund revenues from the income taxation of Social Security benefits. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:  Numbers and percents may not add to totals because of rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
