"Table 5-1
     Workers' Compensation and Temporary Disability Insurance ,,15.5 ,12.3 ,13.0 ,8.0 ,11.4 ,7.1 ,-1.9 ,-1.1 ,0.7 ,0.4 ,4.2 ,4.8 ,9.4 ,15.4 ,12.2 ,13.2 ,3.4 ,4.1 ,0.5 ,-1.2 ,-3.4 ,-10.2 ,0.5 ,8.8 ,7.0 ,6.7 ,5.0 ,1.3 ,0.8 ,-1.4 ,-1.2 ,,,,,,,,,,,,,
     Worksite Health Care,,10.8 ,9.0 ,9.5 ,5.2 ,6.0 ,5.1 ,4.6 ,4.8 ,3.9 ,4.6 ,3.5 ,3.2 ,5.8 ,3.9 ,3.3 ,4.0 ,4.5 ,4.4 ,2.5 ,3.5 ,-0.1 ,0.7 ,3.0 ,4.1 ,5.5 ,3.8 ,6.0 ,8.5 ,8.2 ,3.7 ,3.6 ,,,,,,,,,,,,,
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Business,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,,,,,,,,,,,,,
"     Private Business Contribution to Employer-Sponsored 
        Private Health Insurance Premiums1",67.4 ,68.6 ,70.2 ,71.5 ,70.9 ,71.0 ,71.2 ,70.6 ,71.2 ,72.0 ,71.4 ,71.5 ,72.3 ,72.7 ,73.2 ,74.2 ,74.6 ,74.8 ,75.0 ,74.6 ,75.0 ,75.3 ,77.1 ,77.0 ,76.7 ,76.4 ,75.7 ,75.5 ,75.4 ,76.0 ,76.5 ,77.2 ,,,,,,,,,,,,,
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes2,21.1 ,19.8 ,18.5 ,17.2 ,17.7 ,17.3 ,17.1 ,18.3 ,18.4 ,18.2 ,19.1 ,19.2 ,18.9 ,18.5 ,17.5 ,16.2 ,15.4 ,15.5 ,15.4 ,16.0 ,16.0 ,16.1 ,15.1 ,15.3 ,15.3 ,15.4 ,15.7 ,15.9 ,16.1 ,15.7 ,15.7 ,15.5 ,,,,,,,,,,,,,
     Workers' Compensation and Temporary Disability Insurance ,10.1 ,10.2 ,10.0 ,10.0 ,10.1 ,10.4 ,10.5 ,9.8 ,9.2 ,8.6 ,8.4 ,8.1 ,7.8 ,7.7 ,8.3 ,8.6 ,9.1 ,8.9 ,8.7 ,8.5 ,8.0 ,7.7 ,6.9 ,6.9 ,7.1 ,7.3 ,7.7 ,7.7 ,7.5 ,7.2 ,6.8 ,6.3 ,,,,,,,,,,,,,
     Worksite Health Care,1.5 ,1.4 ,1.3 ,1.3 ,1.3 ,1.3 ,1.2 ,1.2 ,1.2 ,1.2 ,1.2 ,1.2 ,1.1 ,1.0 ,1.0 ,1.0 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,,,,,,,,,,,,,
"1Excludes Medicare Retiree Drug Subsidy (RDS) payments to private employer plans beginning in 2006, small business tax credits beginning in 2010, and Early Retirement Reinsurance Program (ERRP) payments for 2010-2011.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Includes one-half of self-employment contributions to the Medicare Hospital Insurance Trust Fund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES: Numbers and percents may not add to totals because of rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: Centers for Medicare and Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
