" Table 22 
" Table 22 - Continued 
Health Insurance Enrollment and Uninsured; Number of Enrollees and Annual Percent Change, 
Calendar Years 1987- 2018 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Private Health Insurance (PHI),,,,,, , , , , ,,,,,,,,,,,,,,,,,,,,
 , ,Direct Purchase,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,
Year,Total,Total Direct Purchase,Other Direct Purchase1,Marketplace,Medigap,Employer Sponsored Insurance,Medicare,Medicaid,Children's Health Insurance Program,Other Public2,Uninsured,,,,,,,,,,,,,,,,,,,,
,Annual Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,0.0%,0.1%,-1.0%,—,1.6%,4.1%,1.8%,0.0%,—,-4.1%,4.9%,,,,,,,,,,,,,,,,,,,,
1989,1.4 ,0.0 ,1.7 ,—,-2.0 ,2.0 ,1.8 ,4.0 ,—,-1.7 ,6.2 ,,,,,,,,,,,,,,,,,,,,
1990,-0.7 ,-1.1 ,-2.5 ,—,0.8 ,0.0 ,1.9 ,9.8 ,—,-0.4 ,2.6 ,,,,,,,,,,,,,,,,,,,,
1991,-0.4 ,0.2 ,1.5 ,—,-1.5 ,0.3 ,2.0 ,13.8 ,—,-0.4 ,3.1 ,,,,,,,,,,,,,,,,,,,,
1992,-0.4 ,2.1 ,-1.0 ,—,6.0 ,-2.6 ,2.0 ,9.7 ,—,-2.6 ,5.8 ,,,,,,,,,,,,,,,,,,,,
1993,0.5 ,-1.2 ,-2.4 ,—,0.2 ,1.1 ,2.0 ,7.2 ,—,0.5 ,2.7 ,,,,,,,,,,,,,,,,,,,,
1994,1.3 ,1.4 ,-7.2 ,—,11.5 ,1.7 ,1.7 ,3.7 ,—,7.8 ,-1.9 ,,,,,,,,,,,,,,,,,,,,
1995,1.6 ,-6.4 ,0.4 ,—,-13.0 ,2.7 ,1.6 ,2.1 ,—,-12.2 ,1.5 ,,,,,,,,,,,,,,,,,,,,
1996,1.7 ,-2.0 ,1.5 ,—,-5.8 ,1.5 ,1.4 ,-0.5 ,—,-5.2 ,1.7 ,,,,,,,,,,,,,,,,,,,,
1997,0.8 ,-5.8 ,-4.8 ,—,-7.1 ,1.6 ,1.0 ,-1.0 ,—,-1.4 ,3.6 ,,,,,,,,,,,,,,,,,,,,
1998,1.4 ,-6.2 ,-8.4 ,—,-3.4 ,2.3 ,1.0 ,-1.4 ,—,0.4 ,1.0 ,,,,,,,,,,,,,,,,,,,,
1999,1.2 ,-4.7 ,-7.2 ,—,-1.8 ,3.6 ,0.8 ,2.4 ,—,-3.4 ,-5.1 ,,,,,,,,,,,,,,,,,,,,
2000,2.2 ,-0.5 ,2.1 ,—,-3.5 ,2.1 ,1.2 ,6.2 ,35.5 ,7.1 ,-2.9 ,,,,,,,,,,,,,,,,,,,,
2001,0.1 ,10.2 ,8.6 ,—,12.0 ,-1.0 ,1.0 ,7.7 ,39.7 ,6.2 ,4.4 ,,,,,,,,,,,,,,,,,,,,
2002,0.3 ,4.0 ,2.9 ,—,5.2 ,-0.1 ,1.1 ,9.8 ,21.1 ,3.1 ,4.1 ,,,,,,,,,,,,,,,,,,,,
2003,-1.0 ,0.7 ,2.6 ,—,-1.6 ,-1.3 ,1.5 ,6.4 ,8.7 ,1.5 ,4.9 ,,,,,,,,,,,,,,,,,,,,
2004,-0.5 ,-6.6 ,-10.8 ,—,-1.6 ,0.1 ,1.6 ,3.7 ,3.0 ,6.7 ,0.1 ,,,,,,,,,,,,,,,,,,,,
2005,0.3 ,2.4 ,5.6 ,—,-0.9 ,0.2 ,1.8 ,2.9 ,1.6 ,4.4 ,3.3 ,,,,,,,,,,,,,,,,,,,,
2006,0.5 ,0.8 ,2.5 ,—,-1.0 ,0.3 ,2.0 ,-0.6 ,4.0 ,-5.3 ,5.1 ,,,,,,,,,,,,,,,,,,,,
2007,0.1 ,-3.9 ,-2.3 ,—,-5.8 ,0.3 ,2.1 ,0.1 ,6.7 ,4.3 ,-3.1 ,,,,,,,,,,,,,,,,,,,,
2008,-0.8 ,2.3 ,5.0 ,—,-0.9 ,-1.1 ,2.6 ,3.6 ,3.6 ,6.4 ,2.7 ,,,,,,,,,,,,,,,,,,,,
2009,-2.8 ,5.7 ,10.5 ,—,-0.4 ,-3.7 ,2.4 ,7.8 ,5.5 ,6.8 ,8.9 ,,,,,,,,,,,,,,,,,,,,
2010,-1.5 ,-0.2 ,-2.2 ,—,2.7 ,-2.0 ,2.5 ,6.0 ,2.3 ,3.2 ,4.7 ,,,,,,,,,,,,,,,,,,,,
2011,-0.3 ,-1.7 ,-4.6 ,—,2.3 ,0.0 ,2.5 ,4.2 ,3.2 ,5.3 ,-5.1 ,,,,,,,,,,,,,,,,,,,,
2012,1.7 ,3.9 ,5.0 ,—,2.5 ,1.3 ,4.1 ,3.3 ,2.7 ,0.0 ,-1.9 ,,,,,,,,,,,,,,,,,,,,
2013,0.0 ,2.5 ,0.9 ,—,4.5 ,-0.2 ,3.2 ,1.7 ,3.5 ,0.0 ,-1.4 ,,,,,,,,,,,,,,,,,,,,
2014,1.9 ,13.5 ,-20.8 ,—,3.2 ,0.3 ,3.1 ,11.0 ,-1.3 ,0.9 ,-19.5 ,,,,,,,,,,,,,,,,,,,,
2015,2.9 ,13.2 ,-11.4 ,65.2 ,10.0 ,1.4 ,2.7 ,5.6 ,2.1 ,5.0 ,-17.0 ,,,,,,,,,,,,,,,,,,,,
2016,0.7 ,1.7 ,-10.5 ,11.3 ,3.8 ,0.5 ,2.7 ,2.7 ,7.9 ,-1.4 ,-2.8 ,,,,,,,,,,,,,,,,,,,,
2017,0.2 ,-7.2 ,-20.8 ,-2.7 ,-1.8 ,1.4 ,2.5 ,1.4 ,5.4 ,0.6 ,3.7 ,,,,,,,,,,,,,,,,,,,,
2018,-0.8 ,-4.4 ,-21.1 ,1.4 ,-0.3 ,-0.2 ,2.6 ,1.0 ,2.9 ,0.8 ,3.1 ,,,,,,,,,,,,,,,,,,,,
1 Other Direct Purchase includes insurance plans purchased on the private market that are not associated with an individual's employer or Medigap plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Other Public includes health insurance coverage provided by the Department of Veterans Affairs and the Department of Defense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
— data not applicable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:  Due to overlaps of coverage, the data are not additive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
