"Table 21
     Other direct purchase,,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,15.4 ,14.1 ,8.0 ,-3.3 ,-5.0 ,-1.4 ,1.8 ,18.0 ,12.0 ,9.5 ,9.7 ,14.2 ,16.9 ,5.9 ,1.1 ,-9.3 ,-4.7 
Medicare,,7.1 ,13.7 ,8.9 ,9.5 ,12.8 ,10.3 ,11.8 ,10.0 ,7.8 ,5.8 ,-0.5 ,1.8 ,5.5 ,10.2 ,7.1 ,6.5 ,10.1 ,9.2 ,18.8 ,7.2 ,7.9 ,6.8 ,4.2 ,4.8 ,4.3 ,3.6 ,5.0 ,4.9 ,4.3 ,4.2 ,6.4 
Medicaid,,9.4 ,12.5 ,18.9 ,26.5 ,16.1 ,13.1 ,9.8 ,7.8 ,5.0 ,5.7 ,5.1 ,8.6 ,9.2 ,11.9 ,10.7 ,8.4 ,8.1 ,6.4 ,-0.9 ,6.3 ,5.7 ,8.8 ,6.1 ,2.3 ,4.0 ,5.3 ,11.8 ,9.0 ,4.2 ,2.6 ,3.0 
CHIP,,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,74.9 ,38.3 ,31.6 ,14.8 ,13.8 ,5.6 ,10.6 ,9.0 ,12.0 ,8.8 ,3.9 ,3.9 ,5.3 ,6.9 ,-2.1 ,11.6 ,13.8 ,7.8 ,2.8 
Enrollment,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Total Private Health Insurance,,0.0%,1.4%,-0.7%,-0.4%,-0.4%,0.5%,1.3%,1.6%,1.7%,0.8%,1.4%,1.2%,2.2%,0.1%,0.3%,-1.0%,-0.5%,0.3%,0.5%,0.1%,-0.8%,-2.8%,-1.5%,-0.3%,1.7%,0.0%,1.9%,2.9%,0.7%,0.2%,-0.8%
   Employer Sponsored Private Health Insurance  Expenditures,,4.1 ,2.0 ,0.0 ,0.3 ,-2.6 ,1.1 ,1.7 ,2.7 ,1.5 ,1.6 ,2.3 ,3.6 ,2.1 ,-1.0 ,-0.1 ,-1.3 ,0.1 ,0.2 ,0.3 ,0.3 ,-1.1 ,-3.7 ,-2.0 ,0.0 ,1.3 ,-0.2 ,0.3 ,1.4 ,0.5 ,1.4 ,-0.2 
   Direct Purchase,,0.1 ,0.0 ,-1.1 ,0.2 ,2.1 ,-1.2 ,1.4 ,-6.4 ,-2.0 ,-5.8 ,-6.2 ,-4.7 ,-0.5 ,10.2 ,4.0 ,0.7 ,-6.6 ,2.4 ,0.8 ,-3.9 ,2.3 ,5.7 ,-0.2 ,-1.7 ,3.9 ,2.5 ,13.5 ,13.2 ,1.7 ,-7.2 ,-4.4 
      Marketplace,,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,65.2 ,11.3 ,-2.7 ,1.4 
      Medigap,,1.6 ,-2.0 ,0.8 ,-1.5 ,6.0 ,0.2 ,11.5 ,-13.0 ,-5.8 ,-7.1 ,-3.4 ,-1.8 ,-3.5 ,12.0 ,5.2 ,-1.6 ,-1.6 ,-0.9 ,-1.0 ,-5.8 ,-0.9 ,-0.4 ,2.7 ,2.3 ,2.5 ,4.5 ,3.2 ,10.0 ,3.8 ,-1.8 ,-0.3 
     Other direct purchase,,-1.0 ,1.7 ,-2.5 ,1.5 ,-1.0 ,-2.4 ,-7.2 ,0.4 ,1.5 ,-4.8 ,-8.4 ,-7.2 ,2.1 ,8.6 ,2.9 ,2.6 ,-10.8 ,5.6 ,2.5 ,-2.3 ,5.0 ,10.5 ,-2.2 ,-4.6 ,5.0 ,0.9 ,-20.8 ,-11.4 ,-10.5 ,-20.8 ,-21.1 
Medicare,,1.8 ,1.8 ,1.9 ,2.0 ,2.0 ,2.0 ,1.7 ,1.6 ,1.4 ,1.0 ,1.0 ,0.8 ,1.2 ,1.0 ,1.1 ,1.5 ,1.6 ,1.8 ,2.0 ,2.1 ,2.6 ,2.4 ,2.5 ,2.5 ,4.1 ,3.2 ,3.1 ,2.7 ,2.7 ,2.5 ,2.6 
Medicaid,,0.0 ,4.0 ,9.8 ,13.8 ,9.7 ,7.2 ,3.7 ,2.1 ,-0.5 ,-1.0 ,-1.4 ,2.4 ,6.2 ,7.7 ,9.8 ,6.4 ,3.7 ,2.9 ,-0.6 ,0.1 ,3.6 ,7.8 ,6.0 ,4.2 ,3.3 ,1.7 ,11.0 ,5.6 ,2.7 ,1.4 ,1.0 
CHIP,,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,35.5 ,39.7 ,21.1 ,8.7 ,3.0 ,1.6 ,4.0 ,6.7 ,3.6 ,5.5 ,2.3 ,3.2 ,2.7 ,3.5 ,-1.3 ,2.1 ,7.9 ,5.4 ,2.9 
Per Enrollee Estimates of Health Insurance,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Total Private Health Insurance,,17.9%,14.8%,15.0%,9.5%,8.2%,7.0%,3.1%,3.9%,3.9%,3.8%,5.5%,7.2%,7.4%,9.5%,11.4%,10.8%,7.5%,6.2%,4.6%,5.1%,4.1%,6.6%,5.2%,4.0%,1.9%,1.9%,3.9%,3.7%,4.8%,4.7%,6.7%
   Employer Sponsored Private Health Insurance  Expenditures,,14.5 ,15.7 ,14.9 ,8.8 ,10.6 ,5.8 ,2.8 ,4.1 ,5.3 ,3.4 ,4.6 ,4.7 ,7.9 ,10.9 ,11.5 ,10.8 ,7.1 ,6.9 ,5.3 ,5.7 ,4.9 ,7.1 ,5.4 ,3.8 ,2.1 ,1.5 ,2.4 ,3.7 ,4.5 ,3.3 ,5.2 
   Direct Purchase,,13.8 ,6.7 ,13.0 ,8.5 ,5.4 ,11.2 ,1.4 ,7.3 ,1.7 ,11.2 ,10.1 ,13.1 ,7.3 ,-3.9 ,7.5 ,8.9 ,13.5 ,-1.4 ,-3.0 ,1.7 ,0.4 ,3.8 ,10.1 ,8.8 ,1.7 ,7.3 ,37.4 ,10.1 ,6.2 ,13.8 ,17.8 
      Marketplace,,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,1.2 ,6.3 ,20.1 ,26.2 
      Medigap,,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,3.8 ,8.1 ,6.2 ,5.5 ,1.0 ,3.0 ,4.3 ,4.3 ,5.5 ,2.5 ,-0.3 ,1.3 ,1.1 ,-1.1 ,-1.7 ,6.5 ,2.3 
     Other direct purchase,,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,12.2 ,11.1 ,21.1 ,-8.4 ,-7.3 ,1.0 ,-3.0 ,6.8 ,14.4 ,14.8 ,4.4 ,13.3 ,47.7 ,19.5 ,13.0 ,14.6 ,20.8 
Medicare,,5.2 ,11.6 ,7.0 ,7.4 ,10.5 ,8.1 ,9.9 ,8.2 ,6.3 ,4.8 ,-1.4 ,1.0 ,4.2 ,9.1 ,5.9 ,5.0 ,8.4 ,7.2 ,16.5 ,5.0 ,5.2 ,4.3 ,1.7 ,2.3 ,0.3 ,0.4 ,1.9 ,2.1 ,1.6 ,1.6 ,3.7 
Medicaid,,9.4 ,8.1 ,8.3 ,11.2 ,5.8 ,5.5 ,5.9 ,5.5 ,5.6 ,6.8 ,6.6 ,6.0 ,2.8 ,3.9 ,0.8 ,1.9 ,4.3 ,3.4 ,-0.3 ,6.1 ,2.0 ,1.0 ,0.1 ,-1.8 ,0.6 ,3.5 ,0.7 ,3.2 ,1.4 ,1.2 ,2.0 
CHIP,,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,29.0 ,-1.0 ,8.7 ,5.6 ,10.5 ,3.9 ,6.4 ,2.2 ,8.1 ,3.1 ,1.5 ,0.6 ,2.6 ,3.3 ,-0.9 ,9.3 ,5.4 ,2.3 ,-0.2 
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,
"NOTE: ""—"" Not applicable/Not available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
